A_team,B_team,A_score,B_score,A_xg,B_xg,A_standings,B_standings,season,target
Inter,Lazio,1,2,0.64,1.58,2,3,2019/2020,0
Parma Calcio 1913,Cagliari,0,0,0.87,0.27,15,11,2020/2021,1
Juventus,Fiorentina,1,0,1.01,0.5,3,10,2017/2018,1
Verona,Brescia,2,1,1.14,0.98,12,18,2019/2020,1
Inter,Torino,0,1,0.47,1.07,8,13,2014/2015,1
Lazio,Inter,2,3,1.47,2.13,4,5,2017/2018,1
Parma Calcio 1913,Sampdoria,1,0,0.6,1.19,9,17,2019/2020,0
Udinese,Juventus,0,4,0.34,2.68,13,3,2015/2016,1
Verona,Juventus,2,1,1.69,1.09,10,1,2019/2020,1
Inter,Verona,3,0,3.16,0.35,4,19,2017/2018,1
Napoli,AC Milan,4,2,2.78,0.8,10,5,2016/2017,1
Napoli,Inter,1,1,0.58,1.02,5,1,2020/2021,1
Spezia,Bologna,2,2,2.67,1.61,17,12,2020/2021,1
Lazio,Chievo,1,2,1.64,1.18,8,20,2018/2019,1
Roma,Sassuolo,2,2,2.15,0.68,2,10,2014/2015,1
Sampdoria,Empoli,1,0,0.99,0.33,6,14,2014/2015,1
Inter,Udinese,2,1,2.27,0.59,9,13,2014/2015,0
Empoli,Napoli,2,1,1.48,0.64,18,2,2018/2019,1
Fiorentina,Chievo,3,0,1.31,1.54,9,12,2016/2017,0
Crotone,Udinese,1,2,1.57,0.83,20,12,2020/2021,1
Verona,Cagliari,2,0,1.3,1.24,9,18,2020/2021,0
Sampdoria,Parma Calcio 1913,3,0,1.35,0.72,9,20,2020/2021,1
Pescara,Atalanta,0,3,0.3,2.49,20,7,2016/2017,0
AC Milan,Sampdoria,0,0,1.54,1.06,12,17,2019/2020,1
Sassuolo,AC Milan,2,0,1.66,1.2,7,6,2015/2016,1
Roma,Parma Calcio 1913,2,1,1.72,1.09,6,16,2018/2019,1
Lazio,Parma Calcio 1913,2,0,2.86,0.25,4,8,2018/2019,0
Inter,Verona,1,0,0.86,1.06,1,10,2020/2021,1
AC Milan,Parma Calcio 1913,3,1,1.77,0.71,7,12,2019/2020,1
AC Milan,Chievo,0,0,0.96,0.51,9,16,2014/2015,0
Crotone,Spezia,4,1,1.69,0.82,20,15,2020/2021,1
Torino,Inter,1,0,1.49,0.9,10,4,2017/2018,1
Cagliari,Bologna,1,1,0.8,0.82,10,11,2019/2020,0
Cesena,Sassuolo,2,3,2.5,1.24,19,16,2014/2015,1
Torino,Empoli,1,1,1.93,1.95,9,17,2016/2017,0
Roma,Cagliari,2,3,1.58,1.26,7,18,2020/2021,0
Juventus,Lazio,3,1,1.45,0.88,4,7,2020/2021,1
Carpi,Empoli,1,0,1.7,0.7,17,12,2015/2016,1
Juventus,Inter,2,1,1.22,1.54,3,1,2019/2020,0
Udinese,AC Milan,2,1,1.89,1.11,15,7,2016/2017,1
Crotone,AC Milan,0,1,0.51,1.96,18,11,2017/2018,0
Verona,AC Milan,0,1,0.47,1.47,9,11,2019/2020,1
Atalanta,Torino,0,0,0.14,1.4,16,13,2014/2015,0
Roma,Palermo,3,0,2.4,0.71,3,18,2016/2017,0
AC Milan,Napoli,0,3,0.11,3.13,10,4,2014/2015,0
Roma,Cagliari,1,0,2.5,0.11,4,14,2017/2018,1
Chievo,Lazio,1,5,0.36,1.16,13,4,2017/2018,0
Juventus,Sassuolo,1,0,1.49,0.42,1,7,2015/2016,1
SPAL 2013,Roma,2,1,1.22,1.58,16,5,2018/2019,1
Cagliari,Roma,0,1,1.01,0.86,16,4,2017/2018,1
Benevento,Napoli,0,6,0.21,5.46,20,4,2017/2018,0
Frosinone,Genoa,2,2,1.27,1.79,18,15,2015/2016,1
Parma Calcio 1913,Roma,0,0,0.11,1.41,20,2,2014/2015,0
Chievo,Torino,1,2,0.9,1.06,10,7,2016/2017,0
Sassuolo,Benevento,1,0,1.28,0.39,8,16,2020/2021,0
Sassuolo,Juventus,0,1,0.42,1.49,7,1,2015/2016,0
Lazio,Palermo,6,2,3.19,0.6,5,19,2016/2017,1
AC Milan,SPAL 2013,2,2,1.6,0.62,7,19,2019/2020,0
Empoli,Fiorentina,2,0,0.72,1.04,14,5,2015/2016,1
Napoli,Juventus,0,1,0.76,1.0,1,3,2017/2018,1
SPAL 2013,Napoli,0,1,0.55,2.6,15,2,2018/2019,0
Fiorentina,Roma,1,1,1.23,1.98,6,8,2018/2019,1
Atalanta,Roma,2,0,1.34,0.9,10,4,2015/2016,0
Udinese,Parma Calcio 1913,0,1,0.54,1.22,13,20,2014/2015,0
Cagliari,Verona,0,2,1.24,1.3,18,9,2020/2021,1
SPAL 2013,Bologna,1,2,0.38,1.93,15,10,2017/2018,0
Torino,Udinese,1,0,1.39,0.92,17,4,2014/2015,1
Juventus,Parma Calcio 1913,3,3,2.16,1.17,1,12,2018/2019,1
Lazio,Sassuolo,3,0,1.39,0.71,5,16,2017/2018,0
Verona,SPAL 2013,3,0,2.04,0.74,11,20,2019/2020,1
Udinese,Sampdoria,1,2,1.47,0.76,11,7,2017/2018,0
Palermo,Chievo,1,3,1.81,1.34,18,9,2015/2016,0
Bologna,Juventus,1,2,0.96,1.86,11,1,2019/2020,0
Udinese,Lazio,0,3,1.05,1.3,14,7,2016/2017,1
SPAL 2013,Sassuolo,0,1,0.48,2.52,18,19,2017/2018,1
Sampdoria,Parma Calcio 1913,2,0,1.72,0.71,12,11,2018/2019,1
Parma Calcio 1913,Bologna,1,4,1.24,2.05,16,15,2020/2021,0
Sampdoria,Sassuolo,0,0,0.65,0.66,5,20,2014/2015,0
Torino,Atalanta,0,0,0.22,0.67,15,12,2018/2019,0
Genoa,Parma Calcio 1913,1,2,1.58,1.4,19,17,2020/2021,1
Verona,Fiorentina,1,1,0.78,0.61,20,5,2015/2016,0
Empoli,Palermo,1,2,1.9,1.21,18,19,2016/2017,0
Crotone,Cagliari,0,2,0.86,1.48,20,18,2020/2021,1
Atalanta,Juventus,1,1,1.67,0.88,4,1,2018/2019,0
Udinese,Cagliari,1,1,1.44,0.63,12,13,2020/2021,0
Bologna,Torino,1,1,0.57,0.31,6,16,2017/2018,1
Roma,Juventus,2,1,0.97,0.97,13,16,2015/2016,1
Chievo,Napoli,1,2,0.21,3.83,15,2,2017/2018,0
Pescara,Inter,1,2,1.53,1.7,15,16,2016/2017,1
Lazio,Parma Calcio 1913,2,0,3.42,0.38,8,19,2020/2021,0
Bologna,Benevento,1,0,1.79,0.8,8,15,2017/2018,0
Cagliari,Napoli,0,5,0.31,3.09,14,1,2017/2018,1
Atalanta,Napoli,1,2,1.16,1.78,11,3,2018/2019,1
Palermo,Atalanta,1,0,1.05,1.63,18,17,2016/2017,0
Genoa,Sassuolo,3,5,1.89,2.06,13,8,2018/2019,0
Roma,Lazio,2,1,1.33,1.42,2,3,2014/2015,0
Atalanta,Brescia,6,2,2.44,0.87,4,19,2019/2020,1
AC Milan,Sampdoria,0,1,1.85,1.24,8,13,2016/2017,1
Napoli,Sassuolo,0,2,2.14,1.52,2,4,2020/2021,1
Atalanta,Chievo,1,1,0.76,0.98,17,14,2014/2015,0
Inter,Udinese,1,3,2.29,2.92,1,13,2017/2018,1
AC Milan,Verona,1,2,1.42,2.66,6,20,2015/2016,0
Crotone,Sampdoria,2,1,1.47,1.65,18,10,2016/2017,0
Lazio,Bologna,2,0,1.47,0.18,4,18,2018/2019,0
Verona,Lazio,0,2,0.14,1.72,16,3,2014/2015,0
Cagliari,AC Milan,1,1,1.93,0.5,13,6,2014/2015,1
Benevento,Roma,2,5,0.71,2.52,20,5,2017/2018,0
Inter,Napoli,0,3,1.12,1.77,8,7,2016/2017,0
Lecce,Torino,2,1,1.25,1.55,19,5,2019/2020,0
Genoa,Udinese,0,1,0.53,1.49,14,18,2017/2018,0
Udinese,Fiorentina,0,1,0.77,1.16,14,13,2019/2020,0
Fiorentina,Bologna,2,0,1.65,0.31,4,17,2015/2016,1
Verona,Genoa,2,2,1.18,0.94,9,11,2020/2021,0
SPAL 2013,Atalanta,2,3,1.48,1.7,12,7,2019/2020,1
Cagliari,Sassuolo,2,2,1.52,1.79,18,7,2018/2019,1
Benevento,AC Milan,1,0,0.45,1.07,20,6,2017/2018,0
Chievo,Udinese,0,2,1.58,1.12,19,14,2018/2019,1
Inter,Atalanta,1,4,1.32,4.13,3,11,2018/2019,0
Udinese,Empoli,2,1,0.71,1.78,13,16,2014/2015,0
AC Milan,Juventus,1,0,0.25,0.73,3,1,2016/2017,1
Bologna,Roma,2,2,1.56,2.43,16,3,2015/2016,1
Crotone,Bologna,0,1,0.38,1.74,8,5,2016/2017,0
Palermo,Sassuolo,2,1,1.85,0.81,11,10,2014/2015,1
Genoa,Torino,0,3,1.07,1.42,17,16,2019/2020,0
Fiorentina,Juventus,1,1,1.21,1.16,14,4,2020/2021,1
Sampdoria,Verona,2,0,4.1,0.37,6,19,2017/2018,1
Atalanta,Parma Calcio 1913,0,0,0.22,0.56,17,20,2014/2015,0
Sassuolo,Genoa,5,0,3.05,1.11,8,17,2019/2020,1
Empoli,Bologna,0,0,0.1,1.36,17,16,2016/2017,0
Carpi,Sampdoria,2,5,2.67,1.41,10,12,2015/2016,0
Sampdoria,Napoli,2,4,1.2,1.84,11,3,2016/2017,1
Roma,Fiorentina,2,1,2.93,0.71,5,12,2019/2020,1
Inter,Torino,2,1,2.51,1.35,1,18,2020/2021,0
Crotone,Napoli,1,2,1.78,2.32,20,7,2016/2017,1
Sassuolo,Napoli,1,1,1.03,0.72,12,2,2018/2019,1
Crotone,Atalanta,0,1,0.18,1.87,19,5,2016/2017,0
AC Milan,Bologna,0,1,1.77,1.25,6,15,2015/2016,1
Inter,Bologna,2,1,2.1,0.38,2,11,2019/2020,0
Verona,Udinese,1,1,1.11,0.84,19,15,2015/2016,1
AC Milan,Napoli,1,1,0.79,1.23,14,7,2019/2020,1
Crotone,Juventus,0,3,0.26,1.54,18,1,2016/2017,0
Inter,Chievo,3,1,2.96,0.34,7,11,2016/2017,1
Sampdoria,Fiorentina,0,2,0.51,2.26,4,6,2014/2015,0
SPAL 2013,Lazio,2,5,2.23,2.25,17,5,2017/2018,1
Fiorentina,Frosinone,0,0,2.1,1.06,5,18,2015/2016,0
Udinese,Inter,0,4,1.56,1.76,14,1,2015/2016,1
Pescara,Bologna,1,3,0.96,1.62,20,15,2016/2017,0
AC Milan,Lazio,1,0,1.53,1.41,5,7,2018/2019,1
Crotone,Juventus,0,3,0.14,2.14,15,3,2017/2018,0
Genoa,Lazio,3,4,1.12,2.9,13,6,2020/2021,0
Atalanta,Juventus,2,2,0.7,1.79,3,1,2019/2020,0
Bologna,Torino,2,2,1.5,0.7,16,12,2018/2019,1
Roma,Inter,2,2,1.44,1.53,5,3,2019/2020,1
Napoli,AC Milan,1,1,1.4,0.59,2,6,2015/2016,1
Palermo,AC Milan,2,3,1.35,1.3,6,12,2015/2016,0
Inter,Pescara,3,0,3.13,0.54,5,20,2016/2017,1
Bologna,Sampdoria,2,1,1.73,0.82,15,10,2020/2021,0
Cagliari,Fiorentina,0,4,2.27,2.81,16,11,2014/2015,1
Genoa,Atalanta,3,1,1.4,2.66,16,8,2018/2019,1
Lazio,Cagliari,2,1,1.47,0.77,4,13,2019/2020,1
Verona,SPAL 2013,2,2,2.32,2.09,19,18,2017/2018,0
Cagliari,Chievo,4,0,2.85,1.4,14,12,2016/2017,1
Fiorentina,Empoli,1,1,1.66,1.28,8,14,2014/2015,1
Verona,Udinese,1,0,1.35,2.15,12,14,2020/2021,1
Bologna,Napoli,1,3,0.77,1.22,12,6,2020/2021,0
Inter,Napoli,0,0,0.44,1.21,2,1,2017/2018,0
Pescara,Roma,1,4,2.36,2.85,20,2,2016/2017,1
Chievo,Juventus,0,2,0.45,2.07,11,1,2016/2017,0
Atalanta,Sampdoria,1,3,2.1,2.5,4,7,2020/2021,1
Inter,Sassuolo,3,0,1.5,0.75,5,3,2020/2021,0
Parma Calcio 1913,Udinese,1,0,1.22,0.54,20,13,2014/2015,1
Atalanta,Empoli,2,1,3.38,0.11,6,17,2016/2017,1
SPAL 2013,Atalanta,1,2,1.02,2.07,14,7,2018/2019,0
SPAL 2013,Chievo,1,2,0.86,1.7,17,11,2017/2018,0
Pescara,Inter,0,3,0.54,3.13,20,5,2016/2017,0
Napoli,Bologna,2,3,1.8,0.94,2,12,2018/2019,0
AC Milan,Chievo,3,1,1.6,0.25,6,5,2016/2017,0
Cagliari,Fiorentina,3,1,2.16,2.13,19,6,2014/2015,0
Juventus,Fiorentina,3,0,1.74,1.16,1,10,2018/2019,0
Torino,Bologna,3,0,2.02,0.96,11,12,2017/2018,1
Genoa,Roma,0,1,0.44,1.21,12,2,2016/2017,1
Napoli,AC Milan,1,3,1.88,1.84,2,1,2020/2021,1
Fiorentina,Cagliari,2,5,0.87,3.21,8,6,2019/2020,0
Roma,Juventus,0,2,0.65,0.25,3,4,2020/2021,0
Sampdoria,Chievo,2,0,0.7,0.29,7,20,2018/2019,1
Sassuolo,Sampdoria,1,0,1.71,1.11,18,6,2017/2018,0
Atalanta,Fiorentina,1,1,2.53,0.35,10,11,2017/2018,0
Empoli,Udinese,2,1,0.68,0.99,17,13,2015/2016,0
Atalanta,Bologna,1,0,1.05,0.46,8,12,2017/2018,0
Palermo,Crotone,1,0,0.77,0.38,19,18,2016/2017,1
Sampdoria,Roma,0,1,1.32,1.66,9,8,2018/2019,1
Udinese,Frosinone,0,2,0.14,1.1,15,18,2015/2016,0
Sampdoria,Napoli,2,4,0.56,3.38,15,2,2015/2016,1
Chievo,Udinese,0,0,0.21,0.82,12,11,2016/2017,1
Benevento,Spezia,1,1,0.32,1.68,16,15,2020/2021,0
Cesena,Torino,0,5,0.24,4.01,20,10,2014/2015,0
Sampdoria,Napoli,2,3,0.94,2.47,6,2,2017/2018,0
Bologna,Lazio,0,2,1.69,1.24,10,2,2019/2020,0
Genoa,Fiorentina,3,3,2.76,2.11,15,8,2016/2017,0
Atalanta,Torino,2,1,2.31,0.59,7,10,2017/2018,1
Inter,Cagliari,1,2,2.09,2.08,3,14,2018/2019,0
Napoli,Lazio,0,2,0.98,0.7,4,9,2020/2021,0
AC Milan,Inter,2,1,2.06,2.55,2,4,2020/2021,0
SPAL 2013,Torino,1,1,0.38,1.56,20,16,2019/2020,1
Sassuolo,Lecce,2,2,2.17,0.48,15,16,2019/2020,0
Juventus,Sampdoria,3,0,2.35,0.81,1,9,2017/2018,1
Lazio,Parma Calcio 1913,2,1,1.78,1.34,9,20,2014/2015,0
Sampdoria,Udinese,2,1,0.76,1.47,7,11,2017/2018,1
Verona,Napoli,2,0,1.73,0.6,16,4,2014/2015,1
Inter,Roma,2,4,0.72,1.98,11,2,2014/2015,0
Parma Calcio 1913,Palermo,1,2,1.41,1.44,20,13,2014/2015,0
Torino,Palermo,4,1,1.21,0.87,10,17,2016/2017,0
Udinese,Benevento,3,3,2.77,1.67,14,20,2017/2018,0
Napoli,Roma,0,1,0.64,0.32,2,3,2015/2016,0
Udinese,Crotone,2,0,2.2,1.0,13,18,2016/2017,1
Torino,Verona,1,2,1.07,0.98,9,19,2017/2018,0
Atalanta,Fiorentina,0,3,0.48,3.24,9,1,2015/2016,0
Lecce,Bologna,2,3,2.25,2.69,18,12,2019/2020,0
Sampdoria,Crotone,3,1,2.48,1.04,11,20,2020/2021,1
Sassuolo,Verona,3,3,1.03,1.32,12,10,2019/2020,1
Bologna,Udinese,0,1,0.39,1.52,14,17,2017/2018,0
Sampdoria,Chievo,1,1,0.96,1.56,9,12,2015/2016,0
Frosinone,Lazio,0,2,0.74,3.63,18,7,2015/2016,0
Inter,Verona,3,0,2.38,1.47,10,15,2014/2015,0
Torino,Napoli,1,0,0.96,0.73,11,3,2014/2015,1
Atalanta,Sampdoria,0,1,2.18,0.44,17,11,2018/2019,1
Udinese,Chievo,1,0,1.29,1.79,17,20,2018/2019,1
Inter,Napoli,1,1,1.02,0.58,1,5,2020/2021,0
Chievo,Sampdoria,2,1,2.63,0.8,11,12,2016/2017,1
Juventus,Inter,1,2,1.24,0.75,2,14,2016/2017,0
Fiorentina,Frosinone,1,1,2.17,0.69,8,19,2018/2019,0
AC Milan,Cagliari,3,1,2.32,1.09,10,18,2014/2015,1
Udinese,Roma,1,2,0.59,2.24,16,3,2015/2016,1
Fiorentina,Chievo,2,1,1.95,1.53,6,17,2014/2015,0
Lazio,Crotone,1,3,1.09,0.99,5,18,2016/2017,0
Bologna,SPAL 2013,1,0,3.76,0.85,9,17,2019/2020,1
Inter,Torino,3,0,1.46,0.43,2,11,2019/2020,0
Lazio,SPAL 2013,5,2,2.25,2.23,5,17,2017/2018,0
Roma,Inter,1,3,1.34,2.45,7,4,2017/2018,1
Sampdoria,Lazio,1,1,0.42,0.82,16,13,2015/2016,0
Bologna,Torino,1,1,0.33,1.86,11,16,2020/2021,1
Fiorentina,AC Milan,0,2,0.6,2.86,15,1,2020/2021,0
Parma Calcio 1913,Genoa,1,0,1.51,0.6,13,12,2018/2019,1
Roma,Cagliari,3,2,3.36,1.2,4,14,2020/2021,1
Benevento,Juventus,1,0,0.25,2.31,16,3,2020/2021,0
Parma Calcio 1913,Verona,1,0,1.23,0.63,19,9,2020/2021,1
Inter,Verona,3,3,2.4,1.31,5,20,2015/2016,0
Roma,Cesena,1,0,1.03,0.23,2,19,2014/2015,0
Lazio,Roma,1,4,2.85,1.53,8,3,2015/2016,1
Genoa,Fiorentina,2,1,2.41,1.8,11,14,2019/2020,1
AC Milan,Udinese,1,1,1.93,1.45,6,14,2015/2016,1
Cagliari,Inter,0,4,0.0,2.35,14,5,2017/2018,0
Napoli,Udinese,1,0,1.7,0.32,2,14,2017/2018,0
Torino,Roma,2,3,0.97,2.42,16,5,2019/2020,1
Roma,Genoa,1,0,1.11,0.23,5,13,2020/2021,1
Lazio,Udinese,0,1,0.94,1.06,14,7,2014/2015,1
Sampdoria,Juventus,2,0,0.69,0.49,9,1,2018/2019,1
Cagliari,Torino,0,0,0.16,0.86,14,11,2018/2019,1
Sampdoria,Crotone,1,1,1.42,0.57,12,19,2016/2017,0
Cagliari,Empoli,1,1,0.98,0.67,18,13,2014/2015,1
Napoli,Spezia,1,2,4.01,1.93,5,18,2020/2021,1
Torino,Lazio,2,2,1.66,1.32,6,7,2016/2017,1
Sassuolo,Napoli,0,2,0.93,1.77,8,2,2018/2019,0
Napoli,Fiorentina,1,0,2.34,0.64,6,10,2014/2015,0
AC Milan,Verona,0,3,1.66,1.5,8,19,2017/2018,0
Torino,Roma,1,4,0.83,1.15,9,3,2016/2017,0
Chievo,AC Milan,1,4,0.74,1.44,8,12,2017/2018,1
Sassuolo,Cagliari,6,2,1.95,0.51,11,13,2016/2017,1
Sassuolo,Cagliari,1,1,2.03,0.96,14,11,2020/2021,1
Roma,Cagliari,1,1,1.42,1.03,7,8,2019/2020,1
Genoa,Atalanta,2,0,1.3,0.66,17,10,2015/2016,0
Udinese,Atalanta,2,1,1.91,1.1,15,9,2015/2016,1
Pescara,Cagliari,1,1,1.43,0.35,20,12,2016/2017,1
Napoli,Cagliari,1,1,2.91,1.89,4,17,2020/2021,1
Verona,AC Milan,2,2,1.55,2.17,15,10,2014/2015,0
Fiorentina,Frosinone,4,1,2.49,0.25,4,17,2015/2016,1
Juventus,Atalanta,2,2,1.79,0.7,1,3,2019/2020,1
Benevento,Chievo,1,0,0.99,0.94,20,13,2017/2018,1
Sampdoria,Bologna,0,2,0.9,1.04,11,13,2016/2017,0
Udinese,Lazio,0,1,1.92,1.51,12,7,2020/2021,1
Sassuolo,Cagliari,1,1,1.08,0.85,13,10,2014/2015,1
Sassuolo,Napoli,0,2,0.3,1.1,12,3,2014/2015,0
Torino,Cagliari,2,3,1.24,1.79,19,17,2020/2021,1
Benevento,Parma Calcio 1913,0,0,0.34,0.5,15,16,2020/2021,0
Sassuolo,SPAL 2013,2,0,2.09,1.02,5,7,2018/2019,0
Lecce,Verona,0,3,0.46,3.26,17,12,2019/2020,0
Juventus,Atalanta,0,1,0.8,0.98,3,4,2020/2021,0
Atalanta,Sampdoria,1,2,0.31,0.93,16,7,2016/2017,0
Atalanta,Inter,0,0,1.27,1.06,8,5,2017/2018,1
AC Milan,Roma,0,2,0.78,1.19,6,5,2017/2018,1
Roma,Sampdoria,1,0,2.41,0.23,4,11,2020/2021,1
Verona,Bologna,2,2,1.99,2.04,10,11,2020/2021,1
Roma,Fiorentina,2,2,1.52,0.89,7,10,2018/2019,1
Atalanta,Udinese,3,2,0.88,1.23,4,15,2019/2020,0
Crotone,Genoa,1,3,1.02,2.4,14,5,2016/2017,1
Napoli,Lazio,3,1,1.93,1.1,7,4,2019/2020,1
Napoli,Atalanta,0,2,1.15,1.0,3,5,2016/2017,1
Bologna,Genoa,1,0,0.87,1.51,11,18,2017/2018,0
Lazio,Napoli,0,3,1.14,2.11,4,3,2016/2017,1
Cagliari,Bologna,3,2,1.35,1.18,7,10,2019/2020,1
Bologna,AC Milan,1,0,1.25,1.77,15,6,2015/2016,0
Roma,Palermo,4,2,2.02,1.27,8,13,2015/2016,0
Palermo,Napoli,0,3,0.59,1.89,14,6,2016/2017,1
Torino,Udinese,1,0,2.46,1.73,10,16,2018/2019,1
Torino,Sampdoria,1,1,1.91,0.5,9,10,2016/2017,1
AC Milan,Crotone,2,0,2.43,0.11,3,18,2020/2021,0
Roma,Atalanta,1,4,0.71,1.91,3,7,2020/2021,0
AC Milan,Inter,2,4,2.45,1.71,10,2,2019/2020,0
Torino,Napoli,0,2,1.05,3.05,16,5,2020/2021,1
Parma Calcio 1913,Verona,2,3,1.21,1.52,9,10,2019/2020,0
Torino,Atalanta,2,4,0.77,2.47,16,13,2020/2021,1
Parma Calcio 1913,SPAL 2013,2,3,2.67,1.97,11,15,2018/2019,1
Bologna,Fiorentina,1,1,1.02,0.47,10,3,2015/2016,1
Chievo,Verona,2,2,2.0,2.08,14,16,2014/2015,1
Torino,Atalanta,3,2,0.68,1.83,6,5,2019/2020,0
Juventus,Sampdoria,1,0,1.15,0.91,1,5,2014/2015,0
Udinese,Genoa,2,4,1.13,1.91,7,9,2014/2015,1
AC Milan,Torino,1,1,0.5,1.44,6,10,2017/2018,0
Roma,Atalanta,3,3,2.23,2.35,10,7,2018/2019,1
Fiorentina,Parma Calcio 1913,0,1,2.82,1.01,9,20,2014/2015,0
Cagliari,Torino,1,1,0.35,1.42,18,10,2014/2015,0
Juventus,Atalanta,3,1,1.21,2.79,1,5,2019/2020,0
SPAL 2013,Sampdoria,3,1,2.06,0.75,17,10,2017/2018,1
Sampdoria,Crotone,1,0,2.04,0.69,10,20,2020/2021,0
Cagliari,Sampdoria,0,2,0.54,1.31,18,6,2014/2015,0
Napoli,Fiorentina,0,2,0.58,0.79,11,14,2019/2020,1
AC Milan,Fiorentina,2,0,1.05,0.82,8,4,2015/2016,1
Sampdoria,Juventus,0,2,1.09,3.49,15,1,2019/2020,0
Atalanta,Juventus,1,3,0.35,1.01,6,1,2016/2017,0
Palermo,Juventus,1,4,0.56,1.65,18,1,2016/2017,0
SPAL 2013,Roma,1,3,1.11,3.7,20,5,2019/2020,0
Atalanta,AC Milan,1,3,1.27,2.25,17,10,2014/2015,1
Sampdoria,Torino,1,0,1.84,0.22,20,9,2019/2020,1
AC Milan,Genoa,1,0,0.73,0.93,7,13,2017/2018,0
Inter,Fiorentina,2,0,2.48,0.54,2,11,2020/2021,0
Palermo,Cesena,0,0,0.28,0.05,11,19,2014/2015,0
Chievo,Empoli,0,3,0.29,2.17,15,14,2014/2015,0
Sassuolo,Inter,0,3,0.75,1.5,3,5,2020/2021,1
Juventus,Empoli,3,0,4.16,0.31,1,18,2016/2017,0
Palermo,Parma Calcio 1913,0,1,1.8,1.12,11,20,2014/2015,0
Palermo,Inter,1,1,0.54,1.94,16,18,2016/2017,0
Juventus,Inter,3,2,1.36,0.63,1,5,2017/2018,0
Crotone,Lazio,0,4,0.48,3.72,17,5,2017/2018,0
Roma,Verona,3,0,3.67,0.2,11,19,2017/2018,1
Napoli,Roma,2,1,1.74,1.26,3,2,2016/2017,0
Verona,Atalanta,0,5,0.3,3.38,19,8,2017/2018,1
Benevento,Genoa,2,2,1.04,1.28,17,14,2020/2021,0
Sassuolo,Atalanta,1,1,1.08,2.0,14,5,2016/2017,0
Inter,Crotone,3,0,2.5,0.25,15,19,2016/2017,1
Benevento,Inter,2,5,1.25,4.53,8,10,2020/2021,1
AC Milan,Cagliari,0,0,1.4,0.43,4,16,2020/2021,1
Sampdoria,Lazio,0,1,1.27,1.37,10,7,2020/2021,0
Sampdoria,Genoa,2,1,2.08,1.09,15,10,2016/2017,1
Frosinone,Atalanta,0,0,0.8,0.98,19,12,2015/2016,1
Cesena,Lazio,2,1,0.97,0.28,19,4,2014/2015,1
Juventus,SPAL 2013,2,0,1.82,0.33,1,15,2018/2019,1
Juventus,AC Milan,1,0,1.12,0.52,2,13,2019/2020,1
Sampdoria,Roma,2,3,1.24,3.61,4,8,2016/2017,0
Sampdoria,Torino,2,0,0.95,0.73,12,7,2016/2017,1
Inter,Sampdoria,3,1,1.91,0.93,5,17,2015/2016,1
Parma Calcio 1913,Sassuolo,1,0,0.82,1.39,10,12,2019/2020,0
AC Milan,Torino,2,2,3.39,2.68,6,9,2016/2017,0
Parma Calcio 1913,Genoa,5,1,2.6,1.9,13,19,2019/2020,1
Cesena,Napoli,1,4,0.47,1.78,19,4,2014/2015,1
Crotone,Roma,0,1,0.44,2.41,17,5,2017/2018,0
AC Milan,Roma,0,1,1.05,0.55,3,2,2016/2017,0
Palermo,AC Milan,1,2,1.04,1.04,18,4,2016/2017,1
Lazio,Benevento,6,2,3.72,0.26,5,20,2017/2018,1
Chievo,Palermo,2,0,1.11,0.7,15,19,2016/2017,0
Chievo,SPAL 2013,0,4,0.58,2.15,20,13,2018/2019,1
Torino,Benevento,1,1,1.35,0.35,17,18,2020/2021,1
Roma,AC Milan,0,2,0.6,2.26,5,8,2019/2020,0
AC Milan,Genoa,2,0,1.55,1.75,7,14,2018/2019,0
Inter,Juventus,0,2,0.44,1.24,3,2,2019/2020,0
Juventus,Parma Calcio 1913,2,1,1.35,0.21,1,7,2019/2020,1
Atalanta,Cagliari,0,2,0.76,1.11,4,6,2019/2020,1
Sampdoria,Palermo,2,0,1.59,0.65,16,14,2015/2016,1
Verona,Cagliari,1,0,1.0,0.53,19,15,2017/2018,1
Fiorentina,Cagliari,1,0,1.9,0.22,9,14,2017/2018,0
Crotone,Inter,0,2,0.76,2.34,20,1,2020/2021,1
Fiorentina,Napoli,3,4,1.94,1.95,6,12,2019/2020,1
Napoli,Torino,0,0,0.84,0.48,4,11,2019/2020,0
Empoli,Torino,4,1,2.54,1.28,18,7,2018/2019,1
Lecce,Inter,1,1,1.01,2.16,17,2,2019/2020,1
Bologna,Cagliari,0,1,0.57,0.92,12,18,2020/2021,0
Lazio,Bologna,1,1,2.92,1.04,5,13,2016/2017,1
Cagliari,Verona,0,1,2.01,0.96,14,7,2014/2015,0
Atalanta,Sampdoria,0,0,0.52,0.89,6,18,2019/2020,0
Brescia,Genoa,2,2,1.5,2.33,20,17,2019/2020,1
Juventus,Inter,0,2,0.37,1.73,4,2,2020/2021,0
Crotone,Sampdoria,1,3,1.04,2.48,20,11,2020/2021,0
Torino,Fiorentina,3,1,0.65,0.84,10,6,2015/2016,1
Brescia,Torino,0,4,0.59,3.11,19,15,2019/2020,1
Fiorentina,Sassuolo,3,0,2.46,0.42,12,16,2017/2018,1
Parma Calcio 1913,Napoli,0,3,0.09,2.86,11,2,2018/2019,0
Sassuolo,Parma Calcio 1913,0,0,1.25,0.83,11,15,2018/2019,1
Fiorentina,Torino,2,2,2.02,2.09,8,9,2016/2017,1
