A_team,B_team,A_score,B_score,A_xg,B_xg,A_standings,B_standings,season,target
Crotone,Atalanta,1,1,0.85,1.38,17,7,2017/2018,1
Sampdoria,Lazio,0,3,0.63,1.54,12,10,2019/2020,1
Juventus,Lecce,1,1,3.57,1.06,2,18,2019/2020,0
Lecce,Udinese,2,1,1.93,1.55,18,14,2019/2020,0
Brescia,Udinese,1,1,0.71,2.41,19,15,2019/2020,1
Benevento,Cagliari,1,2,1.31,1.89,20,16,2017/2018,0
Udinese,Atalanta,2,0,0.89,0.51,7,15,2014/2015,1
Palermo,Udinese,4,1,1.91,1.78,17,13,2015/2016,1
Parma Calcio 1913,AC Milan,1,3,1.7,1.01,19,2,2020/2021,1
Inter,Napoli,2,0,0.59,1.17,2,7,2019/2020,1
Empoli,Genoa,0,0,0.09,0.29,19,9,2016/2017,0
Atalanta,Lazio,2,1,0.41,0.19,9,5,2015/2016,1
Empoli,Torino,0,3,0.22,1.2,16,12,2018/2019,0
Fiorentina,Torino,1,1,1.94,1.42,4,11,2014/2015,1
Fiorentina,Atalanta,0,0,1.36,0.94,14,13,2016/2017,1
Sampdoria,Juventus,1,4,0.35,2.13,15,1,2016/2017,0
Frosinone,Roma,1,3,0.52,1.21,19,5,2015/2016,0
Empoli,Chievo,0,0,1.36,1.27,11,20,2018/2019,0
Sassuolo,Roma,2,4,0.85,2.96,10,16,2019/2020,0
Juventus,Genoa,2,0,2.18,0.38,18,13,2015/2016,0
SPAL 2013,Cagliari,0,2,0.55,1.09,10,15,2017/2018,1
Sassuolo,Fiorentina,2,2,2.09,2.06,12,8,2016/2017,1
Napoli,SPAL 2013,2,1,1.73,1.92,2,11,2018/2019,0
Empoli,Bologna,0,0,0.57,0.6,12,15,2015/2016,1
Fiorentina,AC Milan,0,0,1.54,0.71,10,6,2016/2017,1
Udinese,Chievo,1,2,0.75,2.5,11,14,2016/2017,1
Cesena,Verona,3,3,1.06,1.42,19,16,2014/2015,0
Torino,Juventus,0,1,0.61,1.35,6,1,2018/2019,1
