A_team,B_team,A_score,B_score,A_standings,B_standings,season,target,total_goals
AC Milan,Sassuolo,1,2,7,12,2014/2015,1,3
Cesena,Napoli,1,4,19,4,2014/2015,1,5
Chievo,Torino,0,0,16,14,2014/2015,1,0
Empoli,Verona,0,0,14,16,2014/2015,1,0
Genoa,Atalanta,2,2,6,17,2014/2015,1,4
Juventus,Inter,1,1,1,12,2014/2015,1,2
Palermo,Cagliari,5,0,12,18,2014/2015,1,5
Parma Calcio 1913,Fiorentina,1,0,20,9,2014/2015,1,1
Udinese,Roma,0,1,12,2,2014/2015,1,1
Sassuolo,Udinese,1,1,10,12,2014/2015,1,2
Torino,AC Milan,1,1,14,7,2014/2015,1,2
Atalanta,Chievo,1,1,17,16,2014/2015,1,2
Cagliari,Cesena,2,1,18,20,2014/2015,1,3
Fiorentina,Palermo,4,3,9,8,2014/2015,1,7
Inter,Genoa,3,1,12,6,2014/2015,1,4
Napoli,Juventus,1,3,4,1,2014/2015,1,4
Roma,Lazio,2,2,2,3,2014/2015,1,4
Sampdoria,Empoli,1,0,6,14,2014/2015,1,1
Verona,Parma Calcio 1913,3,1,16,19,2014/2015,1,4
Empoli,Inter,0,0,15,9,2014/2015,1,0
Palermo,Roma,1,1,10,2,2014/2015,1,2
AC Milan,Atalanta,0,1,8,17,2014/2015,1,1
Cesena,Torino,2,3,20,16,2014/2015,1,5
Chievo,Fiorentina,1,2,17,6,2014/2015,1,3
Genoa,Sassuolo,3,3,7,11,2014/2015,1,6
Juventus,Verona,4,0,1,14,2014/2015,1,4
Lazio,Napoli,0,1,3,5,2014/2015,1,1
Parma Calcio 1913,Sampdoria,0,2,19,6,2014/2015,1,2
Udinese,Cagliari,2,2,12,18,2014/2015,1,4
Cagliari,Sassuolo,2,1,18,11,2014/2015,1,3
Lazio,AC Milan,3,1,5,8,2014/2015,1,4
Fiorentina,Roma,1,1,6,2,2014/2015,1,2
Inter,Torino,0,1,8,13,2014/2015,1,1
Juventus,Chievo,2,0,1,18,2014/2015,1,2
Parma Calcio 1913,Cesena,1,2,19,20,2014/2015,1,3
Sampdoria,Palermo,1,1,5,10,2014/2015,1,2
Verona,Atalanta,1,0,14,15,2014/2015,1,1
Empoli,Udinese,1,2,16,13,2014/2015,1,3
Napoli,Genoa,2,1,5,7,2014/2015,1,3
Genoa,Fiorentina,1,1,7,6,2014/2015,1,2
Roma,Empoli,1,1,2,16,2014/2015,1,2
AC Milan,Parma Calcio 1913,3,1,10,20,2014/2015,1,4
Atalanta,Cagliari,2,1,16,17,2014/2015,1,3
Cesena,Lazio,2,1,19,4,2014/2015,1,3
Chievo,Napoli,1,2,18,3,2014/2015,1,3
Palermo,Verona,2,1,9,14,2014/2015,1,3
Sassuolo,Inter,3,1,12,11,2014/2015,1,4
Torino,Sampdoria,5,1,13,5,2014/2015,1,6
Udinese,Juventus,0,0,12,1,2014/2015,1,0
Juventus,AC Milan,3,1,1,8,2014/2015,1,4
Verona,Torino,1,3,14,10,2014/2015,1,4
Cagliari,Roma,1,2,17,2,2014/2015,1,3
Empoli,Cesena,2,0,16,19,2014/2015,1,2
Fiorentina,Atalanta,3,2,6,16,2014/2015,1,5
Inter,Palermo,3,0,13,8,2014/2015,1,3
Napoli,Udinese,3,1,3,13,2014/2015,1,4
Sampdoria,Sassuolo,1,1,6,12,2014/2015,1,2
Lazio,Genoa,0,1,6,11,2014/2015,1,1
Parma Calcio 1913,Chievo,0,1,20,18,2014/2015,1,1
Palermo,Napoli,3,1,9,3,2014/2015,1,4
Sassuolo,Fiorentina,1,3,12,4,2014/2015,1,4
AC Milan,Empoli,1,1,11,15,2014/2015,1,2
Atalanta,Inter,1,4,16,11,2014/2015,1,5
Cesena,Juventus,2,2,19,1,2014/2015,1,4
Chievo,Sampdoria,2,1,17,5,2014/2015,1,3
Genoa,Verona,5,2,9,16,2014/2015,1,7
Roma,Parma Calcio 1913,0,0,2,20,2014/2015,1,0
Torino,Cagliari,1,1,10,18,2014/2015,1,2
Udinese,Lazio,0,1,13,7,2014/2015,1,1
Juventus,Atalanta,2,1,1,17,2014/2015,1,3
AC Milan,Cesena,2,0,11,19,2014/2015,1,2
Empoli,Chievo,3,0,14,15,2014/2015,1,3
Fiorentina,Torino,1,1,4,11,2014/2015,1,2
Lazio,Palermo,2,1,5,10,2014/2015,1,3
Verona,Roma,1,1,16,2,2014/2015,1,2
Cagliari,Inter,1,2,18,11,2014/2015,1,3
Napoli,Sassuolo,2,0,3,12,2014/2015,1,2
Sampdoria,Genoa,1,1,8,7,2014/2015,1,2
Chievo,AC Milan,0,0,16,9,2014/2015,1,0
Atalanta,Sampdoria,1,2,17,7,2014/2015,1,3
Cagliari,Verona,1,2,18,16,2014/2015,1,3
Cesena,Udinese,1,0,19,13,2014/2015,1,1
Inter,Fiorentina,0,1,8,5,2014/2015,1,1
Palermo,Empoli,0,0,11,15,2014/2015,1,0
Sassuolo,Lazio,0,3,12,5,2014/2015,1,3
Torino,Napoli,1,0,11,3,2014/2015,1,1
Roma,Juventus,1,1,2,1,2014/2015,1,2
AC Milan,Verona,2,2,10,15,2014/2015,1,4
Sampdoria,Cagliari,2,0,6,18,2014/2015,1,2
Cesena,Palermo,0,0,19,11,2014/2015,1,0
Chievo,Roma,0,0,16,2,2014/2015,1,0
Empoli,Genoa,1,1,14,7,2014/2015,1,2
Napoli,Inter,2,2,3,9,2014/2015,1,4
Parma Calcio 1913,Atalanta,0,0,20,17,2014/2015,1,0
Udinese,Torino,3,2,15,9,2014/2015,1,5
Juventus,Sassuolo,1,0,1,14,2014/2015,1,1
Lazio,Fiorentina,4,0,4,5,2014/2015,1,4
Cagliari,Empoli,1,1,18,13,2014/2015,1,2
Palermo,Juventus,0,1,11,1,2014/2015,1,1
Atalanta,Udinese,0,0,17,12,2014/2015,1,0
Genoa,Chievo,0,2,7,16,2014/2015,1,2
Inter,Cesena,1,1,8,19,2014/2015,1,2
Sassuolo,Parma Calcio 1913,4,1,15,20,2014/2015,1,5
Verona,Napoli,2,0,16,4,2014/2015,1,2
Fiorentina,AC Milan,2,1,5,10,2014/2015,1,3
Roma,Sampdoria,0,2,2,6,2014/2015,1,2
Torino,Lazio,0,2,9,3,2014/2015,1,2
AC Milan,Cagliari,3,1,10,18,2014/2015,1,4
Chievo,Palermo,1,0,16,11,2014/2015,1,1
Cesena,Roma,0,1,19,2,2014/2015,1,1
Empoli,Sassuolo,3,1,16,13,2014/2015,1,4
Juventus,Genoa,1,0,1,9,2014/2015,1,1
Lazio,Verona,2,0,3,16,2014/2015,1,2
Napoli,Atalanta,1,1,4,17,2014/2015,1,2
Parma Calcio 1913,Torino,0,2,20,10,2014/2015,1,2
Sampdoria,Inter,1,0,6,9,2014/2015,1,1
Udinese,Fiorentina,2,2,13,6,2014/2015,1,4
