A_team,B_team,A_score,B_score,A_standings,B_standings,season,target,total_goals
Fiorentina,Genoa,3,3,8,15,2016/2017,1,6
Napoli,Palermo,1,1,3,19,2016/2017,1,2
Sampdoria,Roma,3,2,16,2,2016/2017,1,5
Sassuolo,Juventus,0,2,11,1,2016/2017,1,2
Torino,Atalanta,1,1,9,6,2016/2017,1,2
Udinese,AC Milan,2,1,15,7,2016/2017,1,3
Pescara,Fiorentina,1,2,20,8,2016/2017,1,3
AC Milan,Sampdoria,0,1,8,13,2016/2017,1,1
Atalanta,Cagliari,2,0,6,15,2016/2017,1,2
Chievo,Udinese,0,0,12,11,2016/2017,1,0
Empoli,Torino,1,1,17,9,2016/2017,1,2
Genoa,Sassuolo,0,1,16,13,2016/2017,1,1
Juventus,Inter,1,0,1,4,2016/2017,1,1
Palermo,Crotone,1,0,19,18,2016/2017,1,1
Roma,Fiorentina,4,0,3,7,2016/2017,1,4
Bologna,AC Milan,0,1,14,7,2016/2017,1,1
Crotone,Juventus,0,2,19,1,2016/2017,1,2
Napoli,Genoa,2,0,3,16,2016/2017,1,2
Fiorentina,Udinese,3,0,8,12,2016/2017,1,3
Cagliari,Juventus,0,2,15,1,2016/2017,1,2
Crotone,Roma,0,2,19,3,2016/2017,1,2
Inter,Empoli,2,0,5,17,2016/2017,1,2
Palermo,Atalanta,1,3,18,6,2016/2017,1,4
Sampdoria,Bologna,3,1,11,14,2016/2017,1,4
Sassuolo,Chievo,1,3,11,13,2016/2017,1,4
Lazio,AC Milan,1,1,6,8,2016/2017,1,2
Juventus,Palermo,4,1,1,18,2016/2017,1,5
Atalanta,Crotone,1,0,5,19,2016/2017,1,1
Empoli,Lazio,1,2,17,6,2016/2017,1,3
AC Milan,Fiorentina,2,1,7,8,2016/2017,1,3
Bologna,Inter,0,1,14,6,2016/2017,1,1
Chievo,Napoli,1,3,11,3,2016/2017,1,4
Pescara,Genoa,5,0,20,16,2016/2017,1,5
Roma,Torino,4,1,3,9,2016/2017,1,5
Sampdoria,Cagliari,1,1,10,15,2016/2017,1,2
Udinese,Sassuolo,1,2,13,12,2016/2017,1,3
Juventus,Empoli,2,0,1,17,2016/2017,1,2
Napoli,Atalanta,0,2,3,5,2016/2017,1,2
Chievo,Pescara,2,0,12,20,2016/2017,1,2
Crotone,Cagliari,1,2,19,14,2016/2017,1,3
Genoa,Bologna,1,1,16,15,2016/2017,1,2
Inter,Roma,1,3,5,2,2016/2017,1,4
Lazio,Udinese,1,0,6,14,2016/2017,1,1
Palermo,Sampdoria,1,1,18,11,2016/2017,1,2
Sassuolo,AC Milan,0,1,12,7,2016/2017,1,1
Fiorentina,Torino,2,2,8,9,2016/2017,1,4
AC Milan,Chievo,3,1,7,11,2016/2017,1,4
Roma,Napoli,1,2,2,3,2016/2017,1,3
Sampdoria,Pescara,3,1,10,20,2016/2017,1,4
Atalanta,Fiorentina,0,0,4,8,2016/2017,1,0
Bologna,Lazio,0,2,15,5,2016/2017,1,2
Cagliari,Inter,1,5,13,7,2016/2017,1,6
Crotone,Sassuolo,0,0,19,12,2016/2017,1,0
Empoli,Genoa,0,2,17,16,2016/2017,1,2
Torino,Palermo,3,1,10,18,2016/2017,1,4
Udinese,Juventus,1,1,14,1,2016/2017,1,2
Juventus,AC Milan,2,1,1,7,2016/2017,1,3
Genoa,Sampdoria,0,1,15,10,2016/2017,1,1
Chievo,Empoli,4,0,11,17,2016/2017,1,4
Fiorentina,Cagliari,1,0,8,13,2016/2017,1,1
Napoli,Crotone,3,0,3,19,2016/2017,1,3
Palermo,Roma,0,3,18,3,2016/2017,1,3
Pescara,Udinese,1,3,20,14,2016/2017,1,4
Sassuolo,Bologna,0,1,12,16,2016/2017,1,1
Lazio,Torino,3,1,5,10,2016/2017,1,4
AC Milan,Genoa,1,0,7,16,2016/2017,1,1
Torino,Inter,2,2,10,5,2016/2017,1,4
Atalanta,Pescara,3,0,7,20,2016/2017,1,3
Bologna,Chievo,4,1,14,11,2016/2017,1,5
Cagliari,Lazio,0,0,15,4,2016/2017,1,0
Crotone,Fiorentina,0,1,19,8,2016/2017,1,1
Empoli,Napoli,2,3,17,3,2016/2017,1,5
Roma,Sassuolo,3,1,3,12,2016/2017,1,4
Sampdoria,Juventus,0,1,9,1,2016/2017,1,1
Udinese,Palermo,4,1,14,18,2016/2017,1,5
Roma,Empoli,2,0,2,17,2016/2017,1,2
Sassuolo,Lazio,1,2,13,4,2016/2017,1,3
Chievo,Crotone,1,2,11,19,2016/2017,1,3
Fiorentina,Bologna,1,0,8,14,2016/2017,1,1
Genoa,Atalanta,0,5,16,6,2016/2017,1,5
Napoli,Juventus,1,1,3,1,2016/2017,1,2
Palermo,Cagliari,1,3,19,15,2016/2017,1,4
Pescara,AC Milan,1,1,20,7,2016/2017,1,2
Torino,Udinese,2,2,10,12,2016/2017,1,4
Inter,Sampdoria,1,2,6,10,2016/2017,1,3
Atalanta,Sassuolo,1,1,5,14,2016/2017,1,2
Empoli,Pescara,1,1,17,20,2016/2017,1,2
Juventus,Chievo,2,0,1,11,2016/2017,1,2
AC Milan,Palermo,4,0,7,19,2016/2017,1,4
Bologna,Roma,0,3,15,2,2016/2017,1,3
Cagliari,Torino,2,3,14,10,2016/2017,1,5
Crotone,Inter,2,1,18,7,2016/2017,1,3
Lazio,Napoli,0,3,4,3,2016/2017,1,3
Sampdoria,Fiorentina,2,2,10,8,2016/2017,1,4
Udinese,Genoa,3,0,12,16,2016/2017,1,3
Cagliari,Chievo,4,0,14,12,2016/2017,1,4
Fiorentina,Empoli,1,2,8,17,2016/2017,1,3
Genoa,Lazio,2,2,16,4,2016/2017,1,4
Inter,AC Milan,2,2,7,6,2016/2017,1,4
Napoli,Udinese,3,0,3,11,2016/2017,1,3
Palermo,Bologna,0,0,19,15,2016/2017,1,0
Pescara,Juventus,0,2,20,1,2016/2017,1,2
Roma,Atalanta,1,1,2,5,2016/2017,1,2
Sassuolo,Sampdoria,2,1,14,9,2016/2017,1,3
Torino,Crotone,1,1,10,18,2016/2017,1,2
Atalanta,Bologna,3,2,5,15,2016/2017,1,5
AC Milan,Empoli,1,2,6,17,2016/2017,1,3
Chievo,Torino,1,3,13,9,2016/2017,1,4
Juventus,Genoa,4,0,1,16,2016/2017,1,4
Sampdoria,Crotone,1,2,10,18,2016/2017,1,3
Sassuolo,Napoli,2,2,12,3,2016/2017,1,4
Udinese,Cagliari,2,1,11,14,2016/2017,1,3
Pescara,Roma,1,4,20,2,2016/2017,1,5
Atalanta,Juventus,2,2,5,1,2016/2017,1,4
Torino,Sampdoria,1,1,9,10,2016/2017,1,2
Bologna,Udinese,4,0,15,11,2016/2017,1,4
Cagliari,Pescara,1,0,15,20,2016/2017,1,1
Crotone,AC Milan,1,1,18,6,2016/2017,1,2
Empoli,Sassuolo,1,3,17,13,2016/2017,1,4
Genoa,Chievo,1,2,16,15,2016/2017,1,3
Inter,Napoli,0,1,7,3,2016/2017,1,1
Palermo,Fiorentina,2,0,19,8,2016/2017,1,2
Roma,Lazio,1,3,2,4,2016/2017,1,4
Juventus,Torino,1,1,1,9,2016/2017,1,2
Napoli,Cagliari,3,1,3,14,2016/2017,1,4
AC Milan,Roma,1,4,6,3,2016/2017,1,5
Chievo,Palermo,1,1,13,19,2016/2017,1,2
Empoli,Bologna,3,1,17,15,2016/2017,1,4
Genoa,Inter,1,0,17,7,2016/2017,1,1
Pescara,Crotone,0,1,20,18,2016/2017,1,1
Sassuolo,Fiorentina,2,2,12,8,2016/2017,1,4
Udinese,Atalanta,1,1,12,5,2016/2017,1,2
Atalanta,AC Milan,1,1,5,6,2016/2017,1,2
Fiorentina,Lazio,3,2,8,4,2016/2017,1,5
Bologna,Pescara,3,1,15,20,2016/2017,1,4
Cagliari,Empoli,3,2,15,17,2016/2017,1,5
Crotone,Udinese,1,0,18,11,2016/2017,1,1
Inter,Sassuolo,1,2,8,13,2016/2017,1,3
Palermo,Genoa,1,0,19,16,2016/2017,1,1
Roma,Juventus,3,1,2,1,2016/2017,1,4
Sampdoria,Chievo,1,1,11,14,2016/2017,1,2
Torino,Napoli,0,5,9,3,2016/2017,1,5
Napoli,Fiorentina,4,1,3,7,2016/2017,1,5
AC Milan,Bologna,3,0,6,15,2016/2017,1,3
Empoli,Atalanta,0,1,17,5,2016/2017,1,1
Genoa,Torino,2,1,16,9,2016/2017,1,3
Juventus,Crotone,3,0,1,18,2016/2017,1,3
Lazio,Inter,1,3,4,8,2016/2017,1,4
Udinese,Sampdoria,1,1,12,11,2016/2017,1,2
Pescara,Palermo,2,0,20,19,2016/2017,1,2
Atalanta,Chievo,1,0,5,14,2016/2017,1,1
Bologna,Juventus,1,2,15,1,2016/2017,1,3
Cagliari,AC Milan,2,1,13,6,2016/2017,1,3
Crotone,Lazio,3,1,18,5,2016/2017,1,4
Fiorentina,Pescara,2,2,8,20,2016/2017,1,4
Inter,Udinese,5,2,8,13,2016/2017,1,7
Palermo,Empoli,2,1,19,18,2016/2017,1,3
Roma,Genoa,3,2,2,16,2016/2017,1,5
Sampdoria,Napoli,2,4,11,3,2016/2017,1,6
Juventus,Cagliari,3,0,11,5,2017/2018,1,3
Verona,Napoli,1,3,19,12,2017/2018,1,4
Atalanta,Roma,0,1,4,13,2017/2018,1,1
Bologna,Torino,1,1,6,16,2017/2018,1,2
Crotone,AC Milan,0,3,9,6,2017/2018,1,3
Inter,Fiorentina,3,0,11,9,2017/2018,1,3
Lazio,SPAL 2013,0,0,11,12,2017/2018,1,0
Sampdoria,Benevento,2,1,13,10,2017/2018,1,3
Sassuolo,Genoa,0,0,13,12,2017/2018,1,0
Udinese,Chievo,1,2,14,13,2017/2018,1,3
Benevento,Bologna,0,1,15,8,2017/2018,1,1
Genoa,Juventus,2,4,9,4,2017/2018,1,6
Roma,Inter,1,3,7,4,2017/2018,1,4
AC Milan,Cagliari,2,1,4,18,2017/2018,1,3
Chievo,Lazio,1,2,6,9,2017/2018,1,3
Crotone,Verona,0,0,18,17,2017/2018,1,0
Fiorentina,Sampdoria,1,2,19,7,2017/2018,1,3
Napoli,Atalanta,3,1,7,16,2017/2018,1,4
SPAL 2013,Udinese,3,2,10,16,2017/2018,1,5
Torino,Sassuolo,3,0,12,11,2017/2018,1,3
Juventus,Chievo,3,0,2,10,2017/2018,1,3
Atalanta,Sassuolo,2,1,18,15,2017/2018,1,3
Benevento,Torino,0,1,17,6,2017/2018,1,1
Bologna,Napoli,0,3,7,5,2017/2018,1,3
Cagliari,Crotone,1,0,19,15,2017/2018,1,1
Inter,SPAL 2013,2,0,4,8,2017/2018,1,2
Lazio,AC Milan,4,1,7,5,2017/2018,1,5
Udinese,Genoa,1,0,18,14,2017/2018,1,1
Verona,Fiorentina,0,5,15,20,2017/2018,1,5
Crotone,Inter,0,2,17,2,2017/2018,1,2
Fiorentina,Bologna,2,1,10,9,2017/2018,1,3
Roma,Verona,3,0,11,19,2017/2018,1,3
AC Milan,Udinese,2,1,9,12,2017/2018,1,3
Chievo,Atalanta,1,1,15,12,2017/2018,1,2
Genoa,Lazio,2,3,16,5,2017/2018,1,5
Napoli,Benevento,6,0,4,20,2017/2018,1,6
SPAL 2013,Cagliari,0,2,10,15,2017/2018,1,2
Sassuolo,Juventus,1,3,17,4,2017/2018,1,4
Torino,Sampdoria,2,2,6,9,2017/2018,1,4
Bologna,Inter,1,1,12,3,2017/2018,1,2
AC Milan,SPAL 2013,2,0,5,14,2017/2018,1,2
Atalanta,Crotone,5,1,12,17,2017/2018,1,6
Benevento,Roma,0,4,20,10,2017/2018,1,4
Cagliari,Sassuolo,0,1,11,17,2017/2018,1,1
Genoa,Chievo,1,1,17,13,2017/2018,1,2
Juventus,Fiorentina,1,0,3,10,2017/2018,1,1
Lazio,Napoli,1,4,5,3,2017/2018,1,5
Udinese,Torino,2,3,16,7,2017/2018,1,5
Verona,Sampdoria,0,0,19,9,2017/2018,1,0
Juventus,Torino,4,0,2,5,2017/2018,1,4
Roma,Udinese,3,1,7,16,2017/2018,1,4
SPAL 2013,Napoli,2,3,14,2,2017/2018,1,5
Cagliari,Chievo,0,2,11,13,2017/2018,1,2
Crotone,Benevento,2,0,19,20,2017/2018,1,2
Fiorentina,Atalanta,1,1,11,10,2017/2018,1,2
Inter,Genoa,1,0,3,18,2017/2018,1,1
Sampdoria,AC Milan,2,0,9,5,2017/2018,1,2
Sassuolo,Bologna,0,1,14,13,2017/2018,1,1
Verona,Lazio,0,3,19,8,2017/2018,1,3
Genoa,Bologna,0,1,18,11,2017/2018,1,1
Udinese,Sampdoria,4,0,17,7,2017/2018,1,4
AC Milan,Roma,0,2,6,5,2017/2018,1,2
Atalanta,Juventus,2,2,10,2,2017/2018,1,4
Benevento,Inter,1,2,20,3,2017/2018,1,3
Chievo,Fiorentina,2,1,11,12,2017/2018,1,3
Lazio,Sassuolo,6,1,5,16,2017/2018,1,7
Napoli,Cagliari,3,0,3,14,2017/2018,1,3
SPAL 2013,Crotone,1,1,15,16,2017/2018,1,2
Torino,Verona,2,2,7,19,2017/2018,1,4
Juventus,Lazio,1,2,2,4,2017/2018,1,3
Roma,Napoli,0,1,5,1,2017/2018,1,1
Bologna,SPAL 2013,2,1,10,15,2017/2018,1,3
Cagliari,Genoa,2,3,14,19,2017/2018,1,5
Crotone,Torino,2,2,17,7,2017/2018,1,4
Fiorentina,Udinese,2,1,12,13,2017/2018,1,3
Inter,AC Milan,3,2,3,8,2017/2018,1,5
Sampdoria,Atalanta,3,1,10,12,2017/2018,1,4
Sassuolo,Chievo,0,0,18,10,2017/2018,1,0
Verona,Benevento,1,0,19,20,2017/2018,1,1
Napoli,Inter,0,0,1,2,2017/2018,1,0
Sampdoria,Crotone,5,0,6,15,2017/2018,1,5
AC Milan,Genoa,0,0,10,17,2017/2018,1,0
Atalanta,Bologna,1,0,12,7,2017/2018,1,1
Benevento,Fiorentina,0,3,20,12,2017/2018,1,3
Chievo,Verona,3,2,12,16,2017/2018,1,5
Lazio,Cagliari,3,0,4,15,2017/2018,1,3
SPAL 2013,Sassuolo,0,1,18,19,2017/2018,1,1
Torino,Roma,0,1,10,6,2017/2018,1,1
Inter,Sampdoria,3,2,2,6,2017/2018,1,5
Atalanta,Verona,3,0,12,18,2017/2018,1,3
Bologna,Lazio,1,2,9,4,2017/2018,1,3
Cagliari,Benevento,2,1,16,20,2017/2018,1,3
Chievo,AC Milan,1,4,8,12,2017/2018,1,5
Fiorentina,Torino,3,0,11,12,2017/2018,1,3
Genoa,Napoli,2,3,15,2,2017/2018,1,5
Juventus,SPAL 2013,4,1,4,19,2017/2018,1,5
Roma,Crotone,1,0,5,17,2017/2018,1,1
Sassuolo,Udinese,0,1,14,16,2017/2018,1,1
AC Milan,Juventus,0,2,8,3,2017/2018,1,2
Roma,Bologna,1,0,5,11,2017/2018,1,1
Benevento,Lazio,1,5,20,4,2017/2018,1,6
Crotone,Fiorentina,2,1,17,7,2017/2018,1,3
Napoli,Sassuolo,3,1,2,16,2017/2018,1,4
SPAL 2013,Genoa,1,0,19,17,2017/2018,1,1
Sampdoria,Chievo,4,1,6,10,2017/2018,1,5
Torino,Cagliari,2,1,12,14,2017/2018,1,3
Udinese,Atalanta,2,1,13,10,2017/2018,1,3
Verona,Inter,1,2,19,4,2017/2018,1,3
Bologna,Crotone,2,3,12,15,2017/2018,1,5
Genoa,Sampdoria,0,2,18,6,2017/2018,1,2
Atalanta,SPAL 2013,1,1,10,16,2017/2018,1,2
Cagliari,Verona,2,1,16,19,2017/2018,1,3
Chievo,Napoli,0,0,11,1,2017/2018,1,0
Fiorentina,Roma,2,4,7,5,2017/2018,1,6
Inter,Torino,1,1,2,10,2017/2018,1,2
Juventus,Benevento,2,1,3,20,2017/2018,1,3
Sassuolo,AC Milan,0,2,17,10,2017/2018,1,2
Napoli,AC Milan,2,1,1,7,2017/2018,1,3
Roma,Lazio,2,1,5,4,2017/2018,1,3
Benevento,Sassuolo,1,2,20,17,2017/2018,1,3
Crotone,Genoa,0,1,15,18,2017/2018,1,1
Inter,Atalanta,2,0,4,10,2017/2018,1,2
SPAL 2013,Fiorentina,1,1,18,9,2017/2018,1,2
Sampdoria,Juventus,3,2,6,3,2017/2018,1,5
Torino,Chievo,1,1,9,11,2017/2018,1,2
Udinese,Cagliari,0,1,13,14,2017/2018,1,1
Verona,Bologna,2,3,19,13,2017/2018,1,5
Bologna,Sampdoria,3,0,10,6,2017/2018,1,3
Cagliari,Inter,1,3,13,2,2017/2018,1,4
Chievo,SPAL 2013,2,1,11,17,2017/2018,1,3
Sassuolo,Verona,0,2,16,19,2017/2018,1,2
AC Milan,Torino,0,0,9,10,2017/2018,1,0
Genoa,Roma,1,1,18,4,2017/2018,1,2
Juventus,Crotone,3,0,3,15,2017/2018,1,3
Lazio,Fiorentina,1,1,5,11,2017/2018,1,2
Udinese,Napoli,0,1,14,2,2017/2018,1,1
Atalanta,Benevento,1,0,12,20,2017/2018,1,1
Napoli,Juventus,0,1,1,3,2017/2018,1,1
Roma,SPAL 2013,3,1,4,18,2017/2018,1,4
Torino,Atalanta,1,1,11,10,2017/2018,1,2
Benevento,AC Milan,2,2,20,8,2017/2018,1,4
Bologna,Cagliari,1,1,9,13,2017/2018,1,2
Fiorentina,Sassuolo,3,0,12,16,2017/2018,1,3
Inter,Chievo,5,0,3,12,2017/2018,1,5
Sampdoria,Lazio,1,2,6,5,2017/2018,1,3
Crotone,Udinese,0,3,15,14,2017/2018,1,3
Verona,Genoa,0,1,19,17,2017/2018,1,1
Cagliari,Sampdoria,2,2,13,6,2017/2018,1,4
Juventus,Inter,0,0,3,1,2017/2018,1,0
AC Milan,Bologna,2,1,8,9,2017/2018,1,3
Chievo,Roma,0,0,12,4,2017/2018,1,0
Napoli,Fiorentina,0,0,3,8,2017/2018,1,0
SPAL 2013,Verona,2,2,18,19,2017/2018,1,4
Sassuolo,Crotone,2,1,18,16,2017/2018,1,3
Udinese,Benevento,2,0,14,20,2017/2018,1,2
Lazio,Torino,1,3,5,12,2017/2018,1,4
Genoa,Atalanta,1,2,16,12,2017/2018,1,3
Inter,Udinese,1,3,1,13,2017/2018,1,4
Roma,Cagliari,1,0,4,14,2017/2018,1,1
Torino,Napoli,1,3,9,2,2017/2018,1,4
Atalanta,Lazio,3,3,8,5,2017/2018,1,6
Benevento,SPAL 2013,1,2,20,18,2017/2018,1,3
Bologna,Juventus,0,3,12,3,2017/2018,1,3
Crotone,Chievo,1,0,18,13,2017/2018,1,1
Fiorentina,Genoa,0,0,10,18,2017/2018,1,0
Sampdoria,Sassuolo,0,1,6,18,2017/2018,1,1
Verona,AC Milan,3,0,19,8,2017/2018,1,3
Cagliari,Fiorentina,0,1,14,9,2017/2018,1,1
Chievo,Bologna,2,3,13,12,2017/2018,1,5
AC Milan,Atalanta,0,2,9,8,2017/2018,1,2
Genoa,Benevento,1,0,17,20,2017/2018,1,1
Juventus,Roma,1,0,2,4,2017/2018,1,1
Lazio,Crotone,4,0,5,17,2017/2018,1,4
Napoli,Sampdoria,3,2,2,6,2017/2018,1,5
SPAL 2013,Torino,2,2,18,11,2017/2018,1,4
Sassuolo,Inter,1,0,16,3,2017/2018,1,1
Udinese,Verona,4,0,12,19,2017/2018,1,4
Crotone,Napoli,0,1,18,1,2017/2018,1,1
Atalanta,Cagliari,1,2,7,16,2017/2018,1,3
Benevento,Chievo,1,0,20,13,2017/2018,1,1
Bologna,Udinese,1,2,12,9,2017/2018,1,3
Fiorentina,AC Milan,1,1,9,11,2017/2018,1,2
Inter,Lazio,0,0,3,5,2017/2018,1,0
Roma,Sassuolo,1,1,4,15,2017/2018,1,2
Sampdoria,SPAL 2013,2,0,7,17,2017/2018,1,2
Torino,Genoa,0,0,11,16,2017/2018,1,0
Verona,Juventus,1,3,19,2,2017/2018,1,4
Chievo,Udinese,1,1,13,8,2017/2018,1,2
Fiorentina,Inter,1,1,8,3,2017/2018,1,2
AC Milan,Crotone,1,0,11,18,2017/2018,1,1
Benevento,Sampdoria,3,2,20,6,2017/2018,1,5
Cagliari,Juventus,0,1,15,2,2017/2018,1,1
Genoa,Sassuolo,1,0,16,14,2017/2018,1,1
Napoli,Verona,2,0,2,19,2017/2018,1,2
Roma,Atalanta,1,2,4,10,2017/2018,1,3
SPAL 2013,Lazio,2,5,17,5,2017/2018,1,7
Torino,Bologna,3,0,11,12,2017/2018,1,3
Atalanta,Napoli,0,1,7,1,2017/2018,1,1
Bologna,Benevento,3,0,12,20,2017/2018,1,3
Cagliari,AC Milan,1,2,16,11,2017/2018,1,3
Inter,Roma,1,1,3,5,2017/2018,1,2
Lazio,Chievo,5,1,4,13,2017/2018,1,6
Sampdoria,Fiorentina,3,1,7,9,2017/2018,1,4
Sassuolo,Torino,1,1,15,11,2017/2018,1,2
Udinese,SPAL 2013,1,1,11,17,2017/2018,1,2
Verona,Crotone,0,3,19,18,2017/2018,1,3
Juventus,Genoa,1,0,2,15,2017/2018,1,1
Lazio,Udinese,3,0,3,9,2017/2018,1,3
Sampdoria,Roma,1,1,6,5,2017/2018,1,2
AC Milan,Lazio,2,1,7,3,2017/2018,1,3
Chievo,Juventus,0,2,13,2,2017/2018,1,2
Crotone,Cagliari,1,1,17,16,2017/2018,1,2
Fiorentina,Verona,1,4,11,19,2017/2018,1,5
Genoa,Udinese,0,1,15,9,2017/2018,1,1
Napoli,Bologna,3,1,2,12,2017/2018,1,4
Roma,Sampdoria,0,1,5,6,2017/2018,1,1
SPAL 2013,Inter,1,1,18,4,2017/2018,1,2
Sassuolo,Atalanta,0,3,13,9,2017/2018,1,3
Torino,Benevento,3,0,10,20,2017/2018,1,3
Inter,Crotone,1,1,4,17,2017/2018,1,2
Sampdoria,Torino,1,1,6,9,2017/2018,1,2
Atalanta,Chievo,1,0,8,13,2017/2018,1,1
Benevento,Napoli,0,2,20,1,2017/2018,1,2
Bologna,Fiorentina,1,2,12,11,2017/2018,1,3
Cagliari,SPAL 2013,2,0,16,18,2017/2018,1,2
Juventus,Sassuolo,7,0,2,15,2017/2018,1,7
Udinese,AC Milan,1,1,10,8,2017/2018,1,2
Verona,Roma,0,1,19,5,2017/2018,1,1
Lazio,Genoa,1,2,3,16,2017/2018,1,3
Fiorentina,Juventus,0,2,11,2,2017/2018,1,2
Crotone,Atalanta,1,1,17,7,2017/2018,1,2
Napoli,Lazio,4,1,2,3,2017/2018,1,5
SPAL 2013,AC Milan,0,4,18,8,2017/2018,1,4
Chievo,Genoa,0,1,15,13,2017/2018,1,1
Inter,Bologna,2,1,4,13,2017/2018,1,3
Roma,Benevento,5,2,5,20,2017/2018,1,7
Sampdoria,Verona,2,0,6,19,2017/2018,1,2
Sassuolo,Cagliari,0,0,16,14,2017/2018,1,0
Torino,Udinese,2,0,9,10,2017/2018,1,2
Chievo,Cagliari,2,1,16,14,2017/2018,1,3
Genoa,Inter,2,0,12,3,2017/2018,1,2
Udinese,Roma,0,2,10,4,2017/2018,1,2
AC Milan,Sampdoria,1,0,7,6,2017/2018,1,1
Atalanta,Fiorentina,1,1,8,11,2017/2018,1,2
Benevento,Crotone,3,2,20,17,2017/2018,1,5
Bologna,Sassuolo,2,1,13,16,2017/2018,1,3
Napoli,SPAL 2013,1,0,1,18,2017/2018,1,1
Torino,Juventus,0,1,9,2,2017/2018,1,1
Lazio,Verona,2,0,5,19,2017/2018,1,2
Bologna,Genoa,2,0,13,12,2017/2018,1,2
Inter,Benevento,2,0,5,20,2017/2018,1,2
Crotone,SPAL 2013,2,3,17,18,2017/2018,1,5
Fiorentina,Chievo,1,0,12,15,2017/2018,1,1
Roma,AC Milan,0,2,4,7,2017/2018,1,2
Sampdoria,Udinese,2,1,7,11,2017/2018,1,3
Sassuolo,Lazio,0,3,16,5,2017/2018,1,3
Verona,Torino,2,1,19,9,2017/2018,1,3
Cagliari,Napoli,0,5,14,1,2017/2018,1,5
Lazio,Juventus,0,1,3,2,2017/2018,1,1
Napoli,Roma,2,4,1,5,2017/2018,1,6
SPAL 2013,Bologna,1,0,18,12,2017/2018,1,1
Roma,Torino,3,0,3,9,2017/2018,1,3
Verona,Chievo,1,0,19,15,2017/2018,1,1
Bologna,Atalanta,0,1,12,8,2017/2018,1,1
Cagliari,Lazio,2,2,14,4,2017/2018,1,4
Crotone,Sampdoria,4,1,19,6,2017/2018,1,5
Fiorentina,Benevento,1,0,10,20,2017/2018,1,1
Genoa,AC Milan,0,1,13,7,2017/2018,1,1
Inter,Napoli,0,0,5,1,2017/2018,1,0
Juventus,Udinese,2,0,2,11,2017/2018,1,2
Sassuolo,SPAL 2013,1,1,18,17,2017/2018,1,2
Juventus,Atalanta,2,0,1,8,2017/2018,1,2
SPAL 2013,Juventus,0,0,17,1,2017/2018,1,0
Udinese,Sassuolo,1,2,11,18,2017/2018,1,3
AC Milan,Chievo,3,2,6,16,2017/2018,1,5
Benevento,Cagliari,1,2,20,15,2017/2018,1,3
Crotone,Roma,0,2,18,3,2017/2018,1,2
Lazio,Bologna,1,1,4,12,2017/2018,1,2
Napoli,Genoa,1,0,2,13,2017/2018,1,1
Sampdoria,Inter,0,5,7,5,2017/2018,1,5
Torino,Fiorentina,1,2,10,9,2017/2018,1,3
Verona,Atalanta,0,5,19,8,2017/2018,1,5
Atalanta,Udinese,2,0,7,12,2017/2018,1,2
Bologna,Roma,1,1,11,3,2017/2018,1,2
Cagliari,Torino,0,4,14,10,2017/2018,1,4
Chievo,Sampdoria,2,1,16,8,2017/2018,1,3
Fiorentina,Crotone,2,0,9,18,2017/2018,1,2
Genoa,SPAL 2013,1,1,13,17,2017/2018,1,2
Inter,Verona,3,0,4,19,2017/2018,1,3
Juventus,AC Milan,3,1,1,6,2017/2018,1,4
Sassuolo,Napoli,1,1,16,2,2017/2018,1,2
Atalanta,Sampdoria,1,2,7,9,2017/2018,1,3
Genoa,Cagliari,2,1,13,14,2017/2018,1,3
Udinese,Fiorentina,0,2,13,9,2017/2018,1,2
AC Milan,Inter,0,0,6,4,2017/2018,1,0
Benevento,Verona,3,0,20,19,2017/2018,1,3
Chievo,Sassuolo,1,1,15,16,2017/2018,1,2
Torino,Crotone,4,1,10,18,2017/2018,1,5
Benevento,Juventus,2,4,20,1,2017/2018,1,6
Roma,Fiorentina,0,2,3,8,2017/2018,1,2
SPAL 2013,Atalanta,1,1,17,8,2017/2018,1,2
Sampdoria,Genoa,0,0,9,12,2017/2018,1,0
AC Milan,Sassuolo,1,1,6,16,2017/2018,1,2
Crotone,Bologna,1,0,18,11,2017/2018,1,1
Napoli,Chievo,2,1,2,15,2017/2018,1,3
Torino,Inter,1,0,10,4,2017/2018,1,1
Udinese,Lazio,1,2,13,5,2017/2018,1,3
Verona,Cagliari,1,0,19,15,2017/2018,1,1
Atalanta,Inter,0,0,8,5,2017/2018,1,0
Cagliari,Udinese,2,1,16,13,2017/2018,1,3
Chievo,Torino,0,0,16,10,2017/2018,1,0
Genoa,Crotone,1,0,11,18,2017/2018,1,1
AC Milan,Napoli,0,0,6,2,2017/2018,1,0
Bologna,Verona,2,0,12,19,2017/2018,1,2
Fiorentina,SPAL 2013,0,0,7,17,2017/2018,1,0
Juventus,Sampdoria,3,0,1,9,2017/2018,1,3
Lazio,Roma,0,0,3,5,2017/2018,1,0
Sassuolo,Benevento,2,2,16,20,2017/2018,1,4
Inter,Cagliari,4,0,5,14,2017/2018,1,4
Benevento,Atalanta,0,3,20,8,2017/2018,1,3
Crotone,Juventus,1,1,18,1,2017/2018,1,2
Fiorentina,Lazio,3,4,8,4,2017/2018,1,7
Napoli,Udinese,4,2,2,13,2017/2018,1,6
Roma,Genoa,2,1,5,12,2017/2018,1,3
SPAL 2013,Chievo,0,0,17,16,2017/2018,1,0
Sampdoria,Bologna,1,0,9,11,2017/2018,1,1
