Unnamed: 0,home_team,away_team,date,league,season,home_score,away_score,home_xg,away_xg,datetime,home_standings,away_standings,home_points,away_points,home_points_last_4_matches,away_points_last_4_matches,home_points_last_2_home_matches,away_points_last_2_away_matches,home_goals_last_4_matches,away_goals_last_4_matches,home_goals_last_2_home_matches,away_goals_last_2_away_matches,home_goals_against_last_4_matches,away_goals_against_last_4_matches,home_goals_against_last_2_home_matches,away_goals_against_last_2_away_matches,home_mean_xg_last_4_matches,away_mean_xg_last_4_matches,home_mean_xg_last_2_home_matches,away_mean_xg_last_2_away_matches,home_mean_xg_against_last_4_matches,away_mean_xg_against_last_4_matches,home_mean_xg_against_last_2_home_matches,away_mean_xg_against_last_2_away_matches,home_formation,away_formation,home_defense_rating,away_defense_rating,home_midfield_rating,away_midfield_rating,home_attack_rating,away_attack_rating,home_defense_rating_last_4_matches,away_defense_rating_last_4_matches,home_defense_rating_last_2_home_matches,away_defense_rating_last_2_away_matches,home_midfield_rating_last_4_matches,away_midfield_rating_last_4_matches,home_midfield_rating_last_2_home_matches,away_midfield_rating_last_2_away_matches,home_attack_rating_last_4_matches,away_attack_rating_last_4_matches,home_attack_rating_last_2_home_matches,away_attack_rating_last_2_away_matches
243,Napoli,Palermo,September 24 2014,Serie A,2014/2015,3,3,1.53,1.11,2014-09-24,15,18,3,2,,,,,,,,,,,,,,,,,,,,,0,3,6.526000000000001,6.585,7.56,6.97,7.4866666666666655,8.215,,,,,,,,,,,,
245,Parma Calcio 1913,Roma,September 24 2014,Serie A,2014/2015,1,2,0.33,0.83,2014-09-24,17,2,3,9,,,,,,,,,,,,,,,,,,,,,0,0,6.36,6.537999999999999,6.736666666666667,7.43,6.6000000000000005,7.036666666666666,,,,,,,,,,,,
248,Sampdoria,Chievo,September 24 2014,Serie A,2014/2015,2,1,1.78,0.27,2014-09-24,7,15,5,3,,,,,,,,,,,,,,,,,,,,,2,3,7.516,6.471666666666667,6.967499999999999,6.293333333333334,6.705,6.715,,,,,,,,,,,,
250,Verona,Genoa,September 24 2014,Serie A,2014/2015,2,2,1.83,1.62,2014-09-24,6,9,7,4,,,,,,,,,,,,,,,,,,,,,3,1,6.53,7.41,7.416666666666667,6.704999999999999,6.949999999999999,9.04,,,,,,,,,,,,
252,Lazio,Udinese,September 25 2014,Serie A,2014/2015,0,1,0.94,1.06,2014-09-25,14,7,3,6,,,,,,,,,,,,,,,,,,,,,0,0,6.698,7.668000000000001,6.833333333333333,6.789999999999999,6.336666666666667,7.06,,,,,,,,,,,,
258,Atalanta,Juventus,September 27 2014,Serie A,2014/2015,0,3,1.01,2.69,2014-09-27,11,1,4,12,4.0,12.0,1.0,6.0,2.0,7.0,0.0,2.0,4.0,0.0,1.0,0.0,0.7675,1.7875,1.015,1.905,1.645,0.2475,0.88,0.39,2,3,6.522,7.586666666666666,6.435,7.346666666666667,6.050000000000001,7.979999999999999,6.9325,7.30375,6.986000000000001,7.23,6.787875,7.677499999999999,6.829,7.603333333333333,6.45125,7.337499999999999,6.17,7.0625
276,Roma,Verona,September 27 2014,Serie A,2014/2015,2,0,2.69,0.35,2014-09-27,2,6,12,8,12.0,8.0,6.0,4.0,7.0,5.0,4.0,1.0,1.0,3.0,0.0,0.0,1.4900000000000002,1.4700000000000002,1.88,0.975,0.4475,1.6275,0.435,1.75,0,0,7.470000000000001,6.5120000000000005,7.3066666666666675,6.7700000000000005,7.0633333333333335,6.873333333333334,7.0105,6.965000000000001,7.119,7.272,7.604166666666666,7.098333333333334,7.790000000000001,6.823333333333333,7.181666666666666,6.7575,7.461666666666666,6.703333333333334
286,Cesena,AC Milan,September 28 2014,Serie A,2014/2015,1,1,1.13,0.88,2014-09-28,13,7,4,7,4.0,7.0,4.0,4.0,3.0,10.0,3.0,7.0,8.0,8.0,2.0,6.0,0.8225,1.6625,1.565,2.18,1.7000000000000002,1.735,1.51,1.73,2,0,6.828,6.726000000000001,6.6775,6.846666666666667,6.655,6.9366666666666665,6.560916666666667,6.807,6.867999999999999,6.513999999999999,6.742291666666667,6.863333333333333,7.182083333333333,6.731666666666666,6.807916666666666,7.768333333333333,7.358333333333333,8.338333333333335
287,Chievo,Empoli,September 28 2014,Serie A,2014/2015,1,1,0.84,1.67,2014-09-28,16,19,3,2,3.0,2.0,0.0,1.0,4.0,4.0,2.0,2.0,6.0,7.0,4.0,4.0,0.6975,1.4724999999999997,0.925,1.635,1.8225,1.42,1.65,1.865,0,2,6.909999999999999,7.126,7.3066666666666675,6.5375,7.050000000000001,6.63,6.912916666666667,6.790000000000001,6.610999999999999,6.596,6.677833333333334,6.73,6.763,6.7825,6.68625,6.7562500000000005,6.2,6.5825
290,Genoa,Sampdoria,September 28 2014,Serie A,2014/2015,0,1,0.2,0.25,2014-09-28,8,5,5,8,5.0,8.0,3.0,2.0,4.0,5.0,2.0,1.0,4.0,2.0,2.0,1.0,0.89,0.9125,0.855,0.7250000000000001,1.9225,0.56,1.88,0.79,1,0,6.375,7.08,6.487500000000001,6.986666666666667,6.739999999999999,6.93,7.20875,7.1495,6.955,7.050999999999999,6.899374999999999,6.9035416666666665,6.9175,6.676666666666668,7.558333333333334,6.809583333333333,7.245000000000001,6.51
293,Inter,Cagliari,September 28 2014,Serie A,2014/2015,1,4,1.3,3.32,2014-09-28,5,20,8,1,8.0,1.0,6.0,1.0,10.0,3.0,9.0,1.0,1.0,7.0,0.0,3.0,1.8925,1.2824999999999998,2.89,0.6699999999999999,0.645,1.13,0.4499999999999999,1.3,3,0,5.968333333333334,7.526000000000001,6.670000000000001,8.049999999999999,6.7,7.56,7.243125,6.566000000000001,7.6,6.587,7.609583333333333,6.5616666666666665,7.976666666666667,6.681666666666666,7.1137500000000005,6.636666666666668,8.2125,6.508333333333334
298,Sassuolo,Napoli,September 28 2014,Serie A,2014/2015,0,1,0.76,1.4,2014-09-28,20,12,3,4,3.0,4.0,2.0,3.0,1.0,5.0,1.0,2.0,8.0,6.0,1.0,2.0,0.595,1.4925,0.8700000000000001,1.115,1.63,0.7475,0.75,0.605,0,0,6.718000000000001,7.581999999999999,6.513333333333333,7.066666666666667,6.446666666666666,7.223333333333334,6.837,6.768,7.223000000000001,6.885,6.654166666666667,7.051666666666667,6.993333333333334,6.915000000000001,6.495,6.785833333333333,7.058333333333334,6.621666666666666
299,Torino,Fiorentina,September 28 2014,Serie A,2014/2015,1,1,1.04,1.37,2014-09-28,14,9,4,5,4.0,5.0,1.0,3.0,2.0,1.0,0.0,1.0,4.0,2.0,1.0,2.0,1.3525,1.14,1.86,0.7050000000000001,0.9325,0.945,1.265,1.695,1,2,6.876666666666666,6.764,7.205,6.742500000000001,6.36,7.065,6.824166666666666,7.18275,6.853333333333333,7.027500000000001,6.7025,6.9125,6.545,6.683333333333334,6.437500000000001,6.622083333333333,5.987500000000001,6.4775
301,Palermo,Lazio,September 29 2014,Serie A,2014/2015,0,4,1.58,2.44,2014-09-29,17,16,3,3,3.0,3.0,2.0,0.0,6.0,4.0,2.0,1.0,7.0,5.0,2.0,4.0,1.0,1.625,0.75,2.005,1.2274999999999998,1.1025,0.64,1.6,3,0,6.470000000000001,7.808000000000002,7.0120000000000005,7.75,6.654999999999999,8.243333333333334,6.571666666666667,6.929,6.6525,6.666,6.9818750000000005,6.845,6.745,6.641666666666667,7.19,6.736666666666666,6.9325,6.593333333333332
303,Udinese,Parma Calcio 1913,September 29 2014,Serie A,2014/2015,4,2,1.06,1.86,2014-09-29,4,17,9,3,9.0,3.0,6.0,3.0,4.0,8.0,3.0,3.0,2.0,10.0,0.0,3.0,0.91,0.7825,1.19,0.685,0.795,1.7625,0.565,1.2200000000000002,2,0,7.062,6.074,7.2225,6.4433333333333325,8.065,6.66,7.229333333333334,6.2975,7.448,6.514,7.007833333333332,6.589166666666667,7.250666666666666,6.526666666666666,6.89875,6.54,7.1875,6.575
307,AC Milan,Chievo,October 04 2014,Serie A,2014/2015,2,0,1.6,0.55,2014-10-04,6,15,8,4,5.0,4.0,3.0,3.0,8.0,5.0,3.0,2.0,8.0,6.0,2.0,2.0,1.38,0.7825,1.145,0.47,1.5074999999999998,1.6475,1.74,1.995,0,2,7.542,6.382,7.536666666666666,6.705,7.376666666666666,5.955,6.702500000000001,6.914416666666666,7.1,7.214833333333333,6.79,6.8420000000000005,6.995000000000001,6.592666666666667,7.523333333333333,6.98125,7.198333333333334,7.172499999999999
329,Verona,Cagliari,October 04 2014,Serie A,2014/2015,1,0,0.96,2.01,2014-10-04,7,14,8,4,7.0,3.0,4.0,3.0,5.0,6.0,4.0,4.0,5.0,7.0,3.0,3.0,1.375,1.9,1.965,1.905,2.08,1.185,1.505,1.41,0,0,7.858,7.117999999999999,7.753333333333333,6.926666666666667,6.580000000000001,6.833333333333333,6.830500000000001,6.746,6.658,6.947000000000001,7.110833333333334,6.815,7.373333333333334,7.188333333333333,6.8425,6.803333333333334,6.811666666666666,6.841666666666667
334,Empoli,Palermo,October 05 2014,Serie A,2014/2015,3,0,1.99,0.32,2014-10-05,17,19,3,3,3.0,2.0,1.0,1.0,5.0,5.0,2.0,4.0,6.0,10.0,3.0,5.0,1.7174999999999998,1.165,1.3099999999999998,1.25,1.2075,1.6374999999999995,0.975,1.815,2,3,7.892,6.515000000000001,7.805,6.658,7.98,6.23,6.9715,6.497916666666667,6.984,6.490833333333334,6.711874999999999,7.051541666666667,6.6775,7.21875,6.79,7.0425,6.93,7.4475
336,Fiorentina,Inter,October 05 2014,Serie A,2014/2015,3,0,2.12,0.62,2014-10-05,11,7,6,8,6.0,7.0,2.0,2.0,2.0,11.0,0.0,1.0,1.0,5.0,0.0,1.0,1.3875000000000002,1.89,1.5750000000000002,0.895,0.6449999999999999,1.1999999999999995,0.195,0.8400000000000001,0,3,7.892,6.485,7.903999999999999,6.826666666666667,8.08,6.185,7.20875,6.929583333333333,7.338,6.88625,7.055625,7.519166666666667,7.141666666666668,7.2425,6.8308333333333335,7.31125,6.766666666666668,6.015000000000001
338,Juventus,Roma,October 05 2014,Serie A,2014/2015,3,2,3.05,1.77,2014-10-05,1,2,15,15,12.0,12.0,6.0,6.0,9.0,7.0,5.0,3.0,0.0,1.0,0.0,1.0,1.8675,1.6025,1.67,1.1,0.375,0.4399999999999999,0.105,0.4599999999999999,3,0,6.563333333333333,6.082000000000001,6.823333333333333,6.656666666666666,7.215,7.37,7.340000000000001,7.0955,7.3775,6.901999999999999,7.624166666666666,7.285,7.751666666666666,7.418333333333333,7.6225,7.109166666666667,7.6125,6.901666666666666
339,Lazio,Sassuolo,October 05 2014,Serie A,2014/2015,3,2,1.6,1.67,2014-10-05,10,20,6,3,6.0,2.0,3.0,1.0,7.0,0.0,3.0,0.0,2.0,8.0,1.0,7.0,1.725,0.515,1.245,0.32,0.995,1.7675,0.605,2.51,0,0,6.590000000000001,6.401999999999999,7.596666666666667,6.2,7.859999999999999,7.526666666666667,7.3115,6.728,7.192,6.4510000000000005,7.164999999999999,6.609166666666666,7.048333333333333,6.315,7.230833333333334,6.2525,6.880000000000001,5.931666666666667
342,Napoli,Torino,October 05 2014,Serie A,2014/2015,2,1,3.28,0.41,2014-10-05,10,13,7,5,4.0,4.0,1.0,3.0,4.0,3.0,3.0,2.0,5.0,5.0,4.0,3.0,1.395,1.3375,1.87,0.845,0.8075,0.9475,0.8900000000000001,0.6,0,3,6.970000000000001,6.9350000000000005,7.023333333333333,6.148000000000001,8.0,6.655,6.8655,6.747083333333333,6.651,6.795,7.1075,6.795416666666666,7.1883333333333335,6.859999999999999,6.8758333333333335,6.532500000000001,6.949999999999999,6.8875
344,Parma Calcio 1913,Genoa,October 05 2014,Serie A,2014/2015,1,2,1.2,1.77,2014-10-05,18,12,3,5,3.0,5.0,0.0,2.0,10.0,3.0,5.0,2.0,13.0,3.0,7.0,2.0,1.1375,0.8099999999999999,0.88,0.925,1.755,1.5375,2.305,1.965,0,0,6.506,6.544,6.323333333333333,7.649999999999999,6.623333333333332,7.156666666666666,6.173500000000001,7.20125,6.081,7.4625,6.523333333333333,6.831249999999999,6.651666666666667,6.88125,6.723333333333334,7.336666666666666,6.505000000000001,7.871666666666666
347,Sampdoria,Atalanta,October 05 2014,Serie A,2014/2015,1,0,1.31,0.59,2014-10-05,5,17,11,4,10.0,3.0,6.0,3.0,5.0,2.0,4.0,2.0,1.0,7.0,1.0,3.0,0.775,0.8,1.1,0.52,0.38,2.135,0.33,2.41,0,0,7.052,6.571999999999998,7.196666666666666,6.2620000000000005,6.763333333333333,6.41,7.206,6.760000000000001,7.248000000000001,6.879000000000001,6.995208333333333,6.618625,7.130416666666666,6.7467500000000005,6.897916666666666,6.401250000000001,7.109166666666667,6.7325
350,Udinese,Cesena,October 05 2014,Serie A,2014/2015,1,1,0.84,2.09,2014-10-05,4,14,12,5,9.0,2.0,6.0,0.0,6.0,3.0,5.0,0.0,4.0,9.0,2.0,6.0,0.7525000000000001,0.8324999999999999,0.875,0.08,1.0875,1.81,1.15,1.89,0,1,6.773999999999999,6.671666666666667,6.645999999999999,7.305,7.0,6.44,7.164833333333334,6.486416666666667,7.319000000000001,6.253833333333335,6.940124999999999,6.539791666666667,7.11525,6.3025,6.89625,6.671666666666666,7.182499999999999,6.2575
376,Roma,Chievo,October 18 2014,Serie A,2014/2015,3,0,1.39,0.32,2014-10-18,2,16,15,4,9.0,1.0,6.0,0.0,8.0,4.0,4.0,1.0,4.0,8.0,0.0,4.0,1.7025,0.7525000000000001,2.105,0.41,1.055,1.495,0.42,1.69,0,3,7.536,6.283333333333334,7.44,6.5633333333333335,7.890000000000001,5.9,6.7995,6.520416666666666,7.289,6.426833333333333,7.0975,6.79525,7.151666666666667,6.499166666666667,7.26,6.5625,7.316666666666666,6.335
