A_team,B_team,A_score,B_score,A_standings,B_standings,season,target,total_goals,match_id,delta_score,delta_standings
Cesena,Juventus,0,3,11,2,2014/2015,0,3,33,-3,9
Palermo,Napoli,3,3,18,15,2014/2015,0,6,34,0,3
Roma,Parma Calcio 1913,2,1,2,17,2014/2015,0,3,35,1,-15
Chievo,Sampdoria,1,2,15,7,2014/2015,0,3,36,-1,8
Genoa,Verona,2,2,9,6,2014/2015,0,4,37,0,3
Udinese,Lazio,1,0,7,14,2014/2015,0,1,38,1,-7
Juventus,Atalanta,3,0,1,11,2014/2015,0,3,39,3,-10
Verona,Roma,0,2,6,2,2014/2015,0,2,40,-2,4
AC Milan,Cesena,1,1,7,13,2014/2015,0,2,41,0,-6
Empoli,Chievo,1,1,19,16,2014/2015,0,2,42,0,3
Sampdoria,Genoa,1,0,5,8,2014/2015,0,1,43,1,-3
Cagliari,Inter,4,1,20,5,2014/2015,0,5,44,3,15
Napoli,Sassuolo,1,0,12,20,2014/2015,0,1,45,1,-8
Fiorentina,Torino,1,1,9,14,2014/2015,0,2,46,0,-5
Lazio,Palermo,4,0,16,17,2014/2015,0,4,47,4,-1
Parma Calcio 1913,Udinese,2,4,17,4,2014/2015,0,6,48,-2,13
Chievo,AC Milan,0,2,15,6,2014/2015,0,2,49,-2,9
Cagliari,Verona,0,1,14,7,2014/2015,0,1,50,-1,7
Palermo,Empoli,0,3,19,17,2014/2015,0,3,51,-3,2
Inter,Fiorentina,0,3,7,11,2014/2015,0,3,52,-3,-4
Roma,Juventus,2,3,2,1,2014/2015,0,5,53,-1,1
Sassuolo,Lazio,2,3,20,10,2014/2015,0,5,54,-1,10
Torino,Napoli,1,2,13,10,2014/2015,0,3,55,-1,3
Genoa,Parma Calcio 1913,2,1,12,18,2014/2015,0,3,56,1,-6
Atalanta,Sampdoria,0,1,17,5,2014/2015,0,1,57,-1,12
Cesena,Udinese,1,1,14,4,2014/2015,0,2,58,0,10
Chievo,Roma,0,3,16,2,2014/2015,0,3,59,-3,14
Juventus,Sassuolo,1,1,1,20,2014/2015,0,2,60,0,-19
Parma Calcio 1913,Atalanta,0,1,19,16,2014/2015,0,1,61,-1,3
Sampdoria,Cagliari,2,2,3,16,2014/2015,0,4,62,0,-13
Lazio,Fiorentina,2,0,8,9,2014/2015,0,2,63,2,-1
Napoli,Inter,2,2,8,10,2014/2015,0,4,64,0,-2
Cesena,Palermo,1,2,14,20,2014/2015,0,3,65,-1,-6
Udinese,Torino,0,1,4,17,2014/2015,0,1,66,-1,-13
AC Milan,Verona,3,1,6,8,2014/2015,0,4,67,2,-2
Empoli,Genoa,1,1,14,11,2014/2015,0,2,68,0,3
Cagliari,Empoli,4,0,17,13,2014/2015,0,4,69,4,4
Sassuolo,Parma Calcio 1913,3,1,19,20,2014/2015,0,4,70,2,-1
Roma,Sampdoria,0,0,2,3,2014/2015,0,0,71,0,-1
Fiorentina,AC Milan,1,1,10,4,2014/2015,0,2,72,0,6
Inter,Cesena,1,0,10,17,2014/2015,0,1,73,1,-7
Genoa,Chievo,2,1,11,19,2014/2015,0,3,74,1,-8
Palermo,Juventus,0,2,18,1,2014/2015,0,2,75,-2,17
Torino,Lazio,1,2,13,6,2014/2015,0,3,76,-1,7
Atalanta,Udinese,0,2,15,7,2014/2015,0,2,77,-2,8
Empoli,Sassuolo,1,3,14,16,2014/2015,0,4,78,-2,-2
Napoli,Atalanta,1,1,7,16,2014/2015,0,2,79,0,-9
AC Milan,Cagliari,1,1,6,13,2014/2015,0,2,80,0,-7
Udinese,Fiorentina,0,3,5,11,2014/2015,0,3,81,-3,-6
Juventus,Genoa,0,1,1,10,2014/2015,0,1,82,-1,-9
Sampdoria,Inter,0,1,4,10,2014/2015,0,1,83,-1,-6
Chievo,Palermo,0,1,19,18,2014/2015,0,1,84,-1,1
Cesena,Roma,0,2,18,2,2014/2015,0,2,85,-2,16
Parma Calcio 1913,Torino,0,1,20,15,2014/2015,0,1,86,-1,5
Lazio,Verona,1,1,6,12,2014/2015,0,2,87,0,-6
Juventus,Empoli,2,0,1,17,2014/2015,0,2,88,2,-16
Roma,Napoli,0,2,2,8,2014/2015,0,2,89,-2,-6
Inter,Parma Calcio 1913,0,2,8,20,2014/2015,0,2,90,-2,-12
Palermo,AC Milan,2,0,15,5,2014/2015,0,2,91,2,10
Sassuolo,Chievo,0,0,14,20,2014/2015,0,0,92,0,-6
Fiorentina,Sampdoria,1,3,10,6,2014/2015,0,4,93,-2,4
Atalanta,Torino,0,0,16,13,2014/2015,0,0,94,0,3
Genoa,Udinese,4,2,9,7,2014/2015,0,6,95,2,2
Verona,Cesena,1,1,12,19,2014/2015,0,2,96,0,-7
Cagliari,Lazio,2,4,15,6,2014/2015,0,6,97,-2,9
AC Milan,Sampdoria,2,2,7,4,2014/2015,0,4,98,0,3
Atalanta,Sassuolo,0,0,16,14,2014/2015,0,0,99,0,2
Genoa,Cagliari,1,1,6,16,2014/2015,0,2,100,0,-10
Cesena,Chievo,1,2,18,20,2014/2015,0,3,101,-1,-2
Lazio,Empoli,1,2,4,18,2014/2015,0,3,102,-1,-14
Napoli,Fiorentina,1,0,6,10,2014/2015,0,1,103,1,-4
Verona,Inter,2,2,11,9,2014/2015,0,4,104,0,2
Parma Calcio 1913,Juventus,0,7,20,1,2014/2015,0,7,105,-7,19
Udinese,Palermo,1,1,9,14,2014/2015,0,2,106,0,-5
Torino,Roma,0,3,13,2,2014/2015,0,3,107,-3,11
Roma,Atalanta,2,1,2,16,2014/2015,0,3,108,1,-14
Juventus,Lazio,3,0,1,5,2014/2015,0,3,109,3,-4
Inter,AC Milan,1,1,9,7,2014/2015,0,2,110,0,2
Sampdoria,Cesena,1,1,4,19,2014/2015,0,2,111,0,-15
Cagliari,Napoli,3,3,15,3,2014/2015,0,6,112,0,12
Empoli,Parma Calcio 1913,2,0,16,20,2014/2015,0,2,113,2,-4
Sassuolo,Torino,1,0,14,15,2014/2015,0,1,114,1,-1
Chievo,Udinese,1,1,18,9,2014/2015,0,2,115,0,9
Fiorentina,Verona,2,1,12,11,2014/2015,0,3,116,1,1
Palermo,Genoa,1,1,14,6,2014/2015,0,2,117,0,8
Lazio,Chievo,0,0,6,18,2014/2015,0,0,118,0,-12
Verona,Sassuolo,1,2,13,11,2014/2015,0,3,119,-1,2
Udinese,AC Milan,0,2,8,7,2014/2015,0,2,120,-2,1
Fiorentina,Cagliari,4,0,11,16,2014/2015,0,4,121,4,-5
Genoa,Cesena,3,0,7,19,2014/2015,0,3,122,3,-12
Atalanta,Empoli,0,0,17,14,2014/2015,0,0,123,0,3
Torino,Juventus,1,2,15,1,2014/2015,0,3,124,-1,14
Parma Calcio 1913,Palermo,1,2,20,13,2014/2015,0,3,125,-1,7
Inter,Roma,2,4,11,2,2014/2015,0,6,126,-2,9
Napoli,Sampdoria,1,1,4,6,2014/2015,0,2,127,0,-2
Juventus,Fiorentina,0,0,1,8,2014/2015,0,0,128,0,-7
Sassuolo,Roma,2,2,10,2,2014/2015,0,4,129,0,8
Palermo,Torino,2,2,12,15,2014/2015,0,4,130,0,-3
Cesena,Atalanta,2,3,19,17,2014/2015,0,5,131,-1,2
AC Milan,Genoa,0,1,6,4,2014/2015,0,1,132,-1,2
Udinese,Inter,2,1,10,12,2014/2015,0,3,133,1,-2
Empoli,Napoli,2,2,13,4,2014/2015,0,4,134,0,9
Lazio,Parma Calcio 1913,2,1,9,20,2014/2015,0,3,135,1,-11
Chievo,Cagliari,2,0,18,17,2014/2015,0,2,136,2,1
Sampdoria,Verona,3,1,6,15,2014/2015,0,4,137,2,-9
Atalanta,Lazio,0,3,14,6,2014/2015,0,3,138,-3,8
Sassuolo,Palermo,1,2,10,11,2014/2015,0,3,139,-1,-1
Napoli,AC Milan,0,2,6,7,2014/2015,0,2,140,-2,-1
Fiorentina,Cesena,4,1,10,19,2014/2015,0,5,141,3,-9
Roma,Genoa,1,0,2,4,2014/2015,0,1,142,1,-2
Sampdoria,Juventus,1,1,5,1,2014/2015,0,2,143,0,4
Cagliari,Parma Calcio 1913,0,0,18,20,2014/2015,0,0,144,0,-2
Verona,Udinese,2,1,14,9,2014/2015,0,3,145,1,5
Inter,Chievo,2,0,12,16,2014/2015,0,2,146,2,-4
Torino,Empoli,0,0,16,14,2014/2015,0,0,147,0,2
Juventus,Cagliari,3,1,1,18,2014/2015,0,4,148,2,-17
Parma Calcio 1913,Napoli,0,2,20,7,2014/2015,0,2,149,-2,13
AC Milan,Roma,0,0,7,2,2014/2015,0,0,150,0,5
Cesena,Sassuolo,1,1,19,12,2014/2015,0,2,151,0,7
Palermo,Atalanta,3,3,10,16,2014/2015,0,6,152,0,-6
Empoli,Fiorentina,1,1,14,8,2014/2015,0,2,153,0,6
Lazio,Inter,2,2,4,11,2014/2015,0,4,154,0,-7
Udinese,Sampdoria,2,2,11,5,2014/2015,0,4,155,0,6
Genoa,Torino,1,2,6,16,2014/2015,0,3,156,-1,-10
Chievo,Verona,1,0,17,15,2014/2015,0,1,157,1,2
Sampdoria,Lazio,0,3,5,3,2014/2015,0,3,158,-3,2
Sassuolo,AC Milan,2,1,12,7,2014/2015,0,3,159,1,5
Napoli,Cesena,4,1,4,19,2014/2015,0,5,160,3,-15
Torino,Chievo,0,0,14,16,2014/2015,0,0,161,0,-2
Verona,Empoli,0,0,16,14,2014/2015,0,0,162,0,2
Atalanta,Genoa,2,2,17,6,2014/2015,0,4,163,0,11
Inter,Juventus,1,1,12,1,2014/2015,0,2,164,0,11
Cagliari,Palermo,0,5,18,12,2014/2015,0,5,165,-5,6
Fiorentina,Parma Calcio 1913,0,1,9,20,2014/2015,0,1,166,-1,-11
Roma,Udinese,1,0,2,12,2014/2015,0,1,167,1,-10
Udinese,Sassuolo,1,1,12,10,2014/2015,0,2,168,0,2
AC Milan,Torino,1,1,7,14,2014/2015,0,2,169,0,-7
Chievo,Atalanta,1,1,16,17,2014/2015,0,2,170,0,-1
Cesena,Cagliari,1,2,20,18,2014/2015,0,3,171,-1,2
Palermo,Fiorentina,3,4,8,9,2014/2015,0,7,172,-1,-1
Genoa,Inter,1,3,6,12,2014/2015,0,4,173,-2,-6
Juventus,Napoli,3,1,1,4,2014/2015,0,4,174,2,-3
Lazio,Roma,2,2,3,2,2014/2015,0,4,175,0,1
Empoli,Sampdoria,0,1,14,6,2014/2015,0,1,176,-1,8
Parma Calcio 1913,Verona,1,3,19,16,2014/2015,0,4,177,-2,3
Inter,Empoli,0,0,9,15,2014/2015,0,0,178,0,-6
Roma,Palermo,1,1,2,10,2014/2015,0,2,179,0,-8
Atalanta,AC Milan,1,0,17,8,2014/2015,0,1,180,1,9
Torino,Cesena,3,2,16,20,2014/2015,0,5,181,1,-4
Fiorentina,Chievo,2,1,6,17,2014/2015,0,3,182,1,-11
Sassuolo,Genoa,3,3,11,7,2014/2015,0,6,183,0,4
Verona,Juventus,0,4,14,1,2014/2015,0,4,184,-4,13
Napoli,Lazio,1,0,5,3,2014/2015,0,1,185,1,2
Sampdoria,Parma Calcio 1913,2,0,6,19,2014/2015,0,2,186,2,-13
Cagliari,Udinese,2,2,18,12,2014/2015,0,4,187,0,6
Sassuolo,Cagliari,1,2,11,18,2014/2015,0,3,188,-1,-7
AC Milan,Lazio,1,3,8,5,2014/2015,0,4,189,-2,3
Roma,Fiorentina,1,1,2,6,2014/2015,0,2,190,0,-4
Torino,Inter,1,0,13,8,2014/2015,0,1,191,1,5
Chievo,Juventus,0,2,18,1,2014/2015,0,2,192,-2,17
Cesena,Parma Calcio 1913,2,1,20,19,2014/2015,0,3,193,1,1
Palermo,Sampdoria,1,1,10,5,2014/2015,0,2,194,0,5
Atalanta,Verona,0,1,15,14,2014/2015,0,1,195,-1,1
Udinese,Empoli,2,1,13,16,2014/2015,0,3,196,1,-3
Genoa,Napoli,1,2,7,5,2014/2015,0,3,197,-1,2
Fiorentina,Genoa,1,1,6,7,2014/2015,0,2,198,0,-1
Empoli,Roma,1,1,16,2,2014/2015,0,2,199,0,14
Parma Calcio 1913,AC Milan,1,3,20,10,2014/2015,0,4,200,-2,10
Cagliari,Atalanta,1,2,17,16,2014/2015,0,3,201,-1,1
Lazio,Cesena,1,2,4,19,2014/2015,0,3,202,-1,-15
Napoli,Chievo,2,1,3,18,2014/2015,0,3,203,1,-15
Verona,Palermo,1,2,14,9,2014/2015,0,3,204,-1,5
Inter,Sassuolo,1,3,11,12,2014/2015,0,4,205,-2,-1
Sampdoria,Torino,1,5,5,13,2014/2015,0,6,206,-4,-8
Juventus,Udinese,0,0,1,12,2014/2015,0,0,207,0,-11
AC Milan,Juventus,1,3,8,1,2014/2015,0,4,208,-2,7
Torino,Verona,3,1,10,14,2014/2015,0,4,209,2,-4
Roma,Cagliari,2,1,2,17,2014/2015,0,3,210,1,-15
Cesena,Empoli,0,2,19,16,2014/2015,0,2,211,-2,3
Atalanta,Fiorentina,2,3,16,6,2014/2015,0,5,212,-1,10
Palermo,Inter,0,3,8,13,2014/2015,0,3,213,-3,-5
Udinese,Napoli,1,3,13,3,2014/2015,0,4,214,-2,10
Sassuolo,Sampdoria,1,1,12,6,2014/2015,0,2,215,0,6
Genoa,Lazio,1,0,11,6,2014/2015,0,1,216,1,5
Chievo,Parma Calcio 1913,1,0,18,20,2014/2015,0,1,217,1,-2
Napoli,Palermo,1,3,3,9,2014/2015,0,4,218,-2,-6
Fiorentina,Sassuolo,3,1,4,12,2014/2015,0,4,219,2,-8
Empoli,AC Milan,1,1,15,11,2014/2015,0,2,220,0,4
Inter,Atalanta,4,1,11,16,2014/2015,0,5,221,3,-5
Juventus,Cesena,2,2,1,19,2014/2015,0,4,222,0,-18
Sampdoria,Chievo,1,2,5,17,2014/2015,0,3,223,-1,-12
Verona,Genoa,2,5,16,9,2014/2015,0,7,224,-3,7
Parma Calcio 1913,Roma,0,0,20,2,2014/2015,0,0,225,0,18
Cagliari,Torino,1,1,18,10,2014/2015,0,2,226,0,8
Lazio,Udinese,1,0,7,13,2014/2015,0,1,227,1,-6
Atalanta,Juventus,1,2,17,1,2014/2015,0,3,228,-1,16
Cesena,AC Milan,0,2,19,11,2014/2015,0,2,229,-2,8
Chievo,Empoli,0,3,15,14,2014/2015,0,3,230,-3,1
Torino,Fiorentina,1,1,11,4,2014/2015,0,2,231,0,7
Palermo,Lazio,1,2,10,5,2014/2015,0,3,232,-1,5
Roma,Verona,1,1,2,16,2014/2015,0,2,233,0,-14
Inter,Cagliari,2,1,11,18,2014/2015,0,3,234,1,-7
Sassuolo,Napoli,0,2,12,3,2014/2015,0,2,235,-2,9
Genoa,Sampdoria,1,1,7,8,2014/2015,0,2,236,0,-1
AC Milan,Chievo,0,0,9,16,2014/2015,0,0,237,0,-7
Sampdoria,Atalanta,2,1,7,17,2014/2015,0,3,238,1,-10
Verona,Cagliari,2,1,16,18,2014/2015,0,3,239,1,-2
Udinese,Cesena,0,1,13,19,2014/2015,0,1,240,-1,-6
Fiorentina,Inter,1,0,5,8,2014/2015,0,1,241,1,-3
Empoli,Palermo,0,0,15,11,2014/2015,0,0,242,0,4
Lazio,Sassuolo,3,0,5,12,2014/2015,0,3,243,3,-7
Napoli,Torino,0,1,3,11,2014/2015,0,1,244,-1,-8
Juventus,Roma,1,1,1,2,2014/2015,0,2,245,0,-1
Verona,AC Milan,2,2,15,10,2014/2015,0,4,246,0,5
Cagliari,Sampdoria,0,2,18,6,2014/2015,0,2,247,-2,12
Palermo,Cesena,0,0,11,19,2014/2015,0,0,248,0,-8
Roma,Chievo,0,0,2,16,2014/2015,0,0,249,0,-14
Genoa,Empoli,1,1,7,14,2014/2015,0,2,250,0,-7
Inter,Napoli,2,2,9,3,2014/2015,0,4,251,0,6
Atalanta,Parma Calcio 1913,0,0,17,20,2014/2015,0,0,252,0,-3
Torino,Udinese,2,3,9,15,2014/2015,0,5,253,-1,-6
Sassuolo,Juventus,0,1,14,1,2014/2015,0,1,254,-1,13
Fiorentina,Lazio,0,4,5,4,2014/2015,0,4,255,-4,1
Empoli,Cagliari,1,1,13,18,2014/2015,0,2,256,0,-5
Juventus,Palermo,1,0,1,11,2014/2015,0,1,257,1,-10
Udinese,Atalanta,0,0,12,17,2014/2015,0,0,258,0,-5
Chievo,Genoa,2,0,16,7,2014/2015,0,2,259,2,9
Cesena,Inter,1,1,19,8,2014/2015,0,2,260,0,11
Parma Calcio 1913,Sassuolo,1,4,20,15,2014/2015,0,5,261,-3,5
Napoli,Verona,0,2,4,16,2014/2015,0,2,262,-2,-12
AC Milan,Fiorentina,1,2,10,5,2014/2015,0,3,263,-1,5
Sampdoria,Roma,2,0,6,2,2014/2015,0,2,264,2,4
Lazio,Torino,2,0,3,9,2014/2015,0,2,265,2,-6
Cagliari,AC Milan,1,3,18,10,2014/2015,0,4,266,-2,8
Palermo,Chievo,0,1,11,16,2014/2015,0,1,267,-1,-5
Roma,Cesena,1,0,2,19,2014/2015,0,1,268,1,-17
Sassuolo,Empoli,1,3,13,16,2014/2015,0,4,269,-2,-3
Genoa,Juventus,0,1,9,1,2014/2015,0,1,270,-1,8
Verona,Lazio,0,2,16,3,2014/2015,0,2,271,-2,13
Atalanta,Napoli,1,1,17,4,2014/2015,0,2,272,0,13
Torino,Parma Calcio 1913,2,0,10,20,2014/2015,0,2,273,2,-10
Inter,Sampdoria,0,1,9,6,2014/2015,0,1,274,-1,3
Fiorentina,Udinese,2,2,6,13,2014/2015,0,4,275,0,-7
Torino,Atalanta,2,1,7,17,2014/2015,0,3,276,1,-10
Lazio,Cagliari,3,1,3,18,2014/2015,0,4,277,2,-15
Sampdoria,Fiorentina,0,2,4,6,2014/2015,0,2,278,-2,-2
Udinese,Genoa,1,1,13,10,2014/2015,0,2,279,0,3
Parma Calcio 1913,Inter,1,1,20,10,2014/2015,0,2,280,0,10
Empoli,Juventus,0,2,13,1,2014/2015,0,2,281,-2,12
AC Milan,Palermo,2,1,8,11,2014/2015,0,3,282,1,-3
Napoli,Roma,0,1,6,3,2014/2015,0,1,283,-1,3
Chievo,Sassuolo,0,1,14,15,2014/2015,0,1,284,-1,-1
Cesena,Verona,3,3,19,16,2014/2015,0,6,285,0,3
Udinese,Parma Calcio 1913,0,1,13,20,2014/2015,0,1,286,-1,-7
Cagliari,Genoa,0,2,19,10,2014/2015,0,2,287,-2,9
Juventus,Parma Calcio 1913,0,1,1,20,2014/2015,0,1,288,-1,-19
Inter,Verona,3,0,10,15,2014/2015,0,3,289,3,-5
Sampdoria,AC Milan,1,1,5,9,2014/2015,0,2,290,0,-4
Sassuolo,Atalanta,1,2,12,17,2014/2015,0,3,291,-1,-5
Chievo,Cesena,1,0,16,18,2014/2015,0,1,292,1,-2
Empoli,Lazio,0,4,15,3,2014/2015,0,4,293,-4,12
Fiorentina,Napoli,0,3,4,6,2014/2015,0,3,294,-3,-2
Roma,Torino,1,1,3,8,2014/2015,0,2,295,0,-5
Palermo,Udinese,3,1,11,14,2014/2015,0,4,296,2,-3
Parma Calcio 1913,Genoa,0,2,20,10,2014/2015,0,2,297,-2,10
Lazio,Juventus,0,2,2,1,2014/2015,0,2,298,-2,1
Cesena,Sampdoria,0,0,18,6,2014/2015,0,0,299,0,12
Napoli,Cagliari,3,0,4,19,2014/2015,0,3,300,3,-15
Udinese,Chievo,1,1,14,12,2014/2015,0,2,301,0,2
Parma Calcio 1913,Empoli,2,2,20,15,2014/2015,0,4,302,0,5
AC Milan,Inter,0,0,9,10,2014/2015,0,0,303,0,-1
Genoa,Palermo,1,2,7,11,2014/2015,0,3,304,-1,-4
Atalanta,Roma,1,1,17,3,2014/2015,0,2,305,0,14
Torino,Sassuolo,1,1,9,14,2014/2015,0,2,306,0,-5
Verona,Fiorentina,1,0,16,6,2014/2015,0,1,307,1,10
Roma,Inter,1,2,3,10,2014/2015,0,3,308,-1,-7
AC Milan,Udinese,1,2,10,15,2014/2015,0,3,309,-1,-5
Empoli,Atalanta,2,2,16,17,2014/2015,0,4,310,0,-1
Cagliari,Fiorentina,3,1,19,6,2014/2015,0,4,311,2,13
Cesena,Genoa,1,3,19,8,2014/2015,0,4,312,-2,11
Chievo,Lazio,1,1,13,2,2014/2015,0,2,313,0,11
Sampdoria,Napoli,2,4,5,4,2014/2015,0,6,314,-2,1
Palermo,Parma Calcio 1913,0,1,11,20,2014/2015,0,1,315,-1,-9
Juventus,Torino,1,2,1,9,2014/2015,0,3,316,-1,-8
Sassuolo,Verona,2,3,14,15,2014/2015,0,5,317,-1,-1
Inter,Udinese,2,1,9,13,2014/2015,0,3,318,1,-4
Genoa,AC Milan,3,1,8,10,2014/2015,0,4,319,2,-2
Atalanta,Cesena,2,2,17,19,2014/2015,0,4,320,0,-2
Cagliari,Chievo,0,1,18,14,2014/2015,0,1,321,-1,4
Fiorentina,Juventus,2,3,7,1,2014/2015,0,5,322,-1,6
Parma Calcio 1913,Lazio,0,4,20,2,2014/2015,0,4,323,-4,18
Torino,Palermo,2,2,9,11,2014/2015,0,4,324,0,-2
Verona,Sampdoria,1,1,13,6,2014/2015,0,2,325,0,7
Roma,Sassuolo,3,0,3,15,2014/2015,0,3,326,3,-12
Napoli,Empoli,2,4,4,16,2014/2015,0,6,327,-2,-12
Juventus,Sampdoria,1,0,1,5,2014/2015,0,1,328,1,-4
Palermo,Sassuolo,0,0,11,16,2014/2015,0,0,329,0,-5
Lazio,Atalanta,1,1,2,17,2014/2015,0,2,330,0,-15
Cesena,Fiorentina,1,3,19,7,2014/2015,0,4,331,-2,12
Chievo,Inter,0,0,12,8,2014/2015,0,0,332,0,4
AC Milan,Napoli,0,3,10,4,2014/2015,0,3,333,-3,6
Genoa,Roma,0,2,7,3,2014/2015,0,2,334,-2,4
Udinese,Verona,1,0,15,13,2014/2015,0,1,335,1,2
Parma Calcio 1913,Cagliari,0,4,20,18,2014/2015,0,4,336,-4,2
Empoli,Torino,1,0,15,9,2014/2015,0,1,337,1,6
Roma,AC Milan,1,2,2,10,2014/2015,0,3,338,-1,-8
Cagliari,Juventus,1,1,18,1,2014/2015,0,2,339,0,17
Sassuolo,Cesena,3,2,16,19,2014/2015,0,5,340,1,-3
Verona,Chievo,2,2,16,14,2014/2015,0,4,341,0,2
Fiorentina,Empoli,3,2,5,13,2014/2015,0,5,342,1,-8
Inter,Lazio,2,1,8,3,2014/2015,0,3,343,1,5
Atalanta,Palermo,3,2,17,11,2014/2015,0,5,344,1,6
Napoli,Parma Calcio 1913,2,2,4,20,2014/2015,0,4,345,0,-16
Sampdoria,Udinese,4,1,7,14,2014/2015,0,5,346,3,-7
Torino,Genoa,1,5,9,8,2014/2015,0,6,347,-4,1
Juventus,Inter,2,1,1,8,2014/2015,0,3,348,1,-7
Lazio,Sampdoria,1,0,3,6,2014/2015,0,1,349,1,-3
Genoa,Atalanta,4,1,7,17,2014/2015,0,5,350,3,-10
Palermo,Cagliari,1,0,11,18,2014/2015,0,1,351,1,-7
Udinese,Roma,1,2,14,3,2014/2015,0,3,352,-1,11
AC Milan,Sassuolo,2,3,10,16,2014/2015,0,5,353,-1,-6
Chievo,Torino,0,2,13,9,2014/2015,0,2,354,-2,4
Empoli,Verona,1,2,14,16,2014/2015,0,3,355,-1,-2
Parma Calcio 1913,Fiorentina,0,3,20,6,2014/2015,0,3,356,-3,14
Cesena,Napoli,2,3,19,4,2014/2015,0,5,357,-1,15
Inter,Genoa,2,3,8,6,2014/2015,0,5,358,-1,2
Napoli,Juventus,1,3,4,1,2014/2015,0,4,359,-2,3
Torino,AC Milan,0,3,9,10,2014/2015,0,3,360,-3,-1
Cagliari,Cesena,1,0,18,19,2014/2015,0,1,361,1,-1
Atalanta,Chievo,1,1,17,14,2014/2015,0,2,362,0,3
Sampdoria,Empoli,1,1,7,15,2014/2015,0,2,363,0,-8
Fiorentina,Palermo,3,2,6,11,2014/2015,0,5,364,1,-5
Verona,Parma Calcio 1913,2,2,12,20,2014/2015,0,4,365,0,-8
Sassuolo,Udinese,1,0,14,16,2014/2015,0,1,366,1,-2
Roma,Lazio,2,1,2,3,2014/2015,0,3,367,1,-1
AC Milan,Atalanta,3,1,10,17,2014/2015,0,4,368,2,-7
Juventus,Verona,2,2,1,13,2014/2015,0,4,369,0,-12
Udinese,Cagliari,3,4,16,18,2014/2015,0,7,370,-1,-2
Chievo,Fiorentina,0,3,14,5,2014/2015,0,3,371,-3,9
Empoli,Inter,3,4,15,8,2014/2015,0,7,372,-1,7
Lazio,Napoli,4,2,3,5,2014/2015,0,6,373,2,-2
Palermo,Roma,2,1,11,2,2014/2015,0,3,374,1,9
Parma Calcio 1913,Sampdoria,2,2,19,8,2014/2015,0,4,375,0,11
Genoa,Sassuolo,1,3,6,12,2014/2015,0,4,376,-2,-6
Cesena,Torino,0,5,20,10,2014/2015,0,5,377,-5,10
Bologna,Lazio,1,2,3,12,2015/2016,0,3,378,-1,-9
Roma,Verona,1,1,14,19,2015/2016,0,2,379,0,-5
Chievo,Empoli,3,1,7,8,2015/2016,0,4,380,2,-1
AC Milan,Fiorentina,0,2,5,8,2015/2016,0,2,381,-2,-3
Torino,Frosinone,2,1,16,8,2015/2016,0,3,382,1,8
Atalanta,Inter,0,1,7,10,2015/2016,0,1,383,-1,-3
Udinese,Juventus,1,0,15,10,2015/2016,0,1,384,1,5
Genoa,Palermo,0,1,10,12,2015/2016,0,1,385,-1,-2
Carpi,Sampdoria,2,5,10,12,2015/2016,0,7,386,-3,-2
Napoli,Sassuolo,1,2,11,12,2015/2016,0,3,387,-1,-1
Empoli,AC Milan,1,2,19,18,2015/2016,0,3,388,-1,1
Sassuolo,Bologna,1,0,7,14,2015/2016,0,1,389,1,-7
Frosinone,Atalanta,0,2,14,13,2015/2016,0,2,390,-2,1
Inter,Carpi,2,1,6,18,2015/2016,0,3,391,1,-12
Lazio,Chievo,0,4,7,4,2015/2016,0,4,392,-4,3
Verona,Genoa,0,2,13,14,2015/2016,0,2,393,-2,-1
Sampdoria,Napoli,2,2,4,16,2015/2016,0,4,394,0,-12
Juventus,Roma,1,2,16,13,2015/2016,0,3,395,-1,3
Fiorentina,Torino,1,3,6,10,2015/2016,0,4,396,-2,-4
Palermo,Udinese,1,0,9,10,2015/2016,0,1,397,1,-1
Genoa,Fiorentina,0,1,9,10,2015/2016,0,1,398,-1,-1
Roma,Frosinone,2,0,8,19,2015/2016,0,2,399,2,-11
Chievo,Juventus,1,1,2,17,2015/2016,0,2,400,0,-15
Napoli,Empoli,2,2,14,18,2015/2016,0,4,401,0,-4
AC Milan,Inter,0,1,12,4,2015/2016,0,1,402,-1,8
Udinese,Lazio,0,2,11,13,2015/2016,0,2,403,-2,-2
Carpi,Palermo,2,2,19,5,2015/2016,0,4,404,0,14
Atalanta,Sassuolo,2,2,10,6,2015/2016,0,4,405,0,4
Torino,Verona,2,2,6,16,2015/2016,0,4,406,0,-10
Bologna,Sampdoria,0,2,19,9,2015/2016,0,2,407,-2,10
Palermo,AC Milan,2,3,6,12,2015/2016,0,5,408,-1,-6
Empoli,Udinese,2,1,17,13,2015/2016,0,3,409,1,4
Verona,Atalanta,1,1,16,11,2015/2016,0,2,410,0,5
Frosinone,Bologna,0,1,20,19,2015/2016,0,1,411,-1,1
Fiorentina,Carpi,1,0,8,19,2015/2016,0,1,412,1,-11
Inter,Chievo,1,0,1,3,2015/2016,0,1,413,1,-2
Juventus,Genoa,2,0,18,13,2015/2016,0,2,414,2,5
Lazio,Napoli,0,5,10,18,2015/2016,0,5,415,-5,-8
Sassuolo,Roma,2,2,7,5,2015/2016,0,4,416,0,2
Sampdoria,Torino,0,2,6,7,2015/2016,0,2,417,-2,-1
AC Milan,Udinese,3,2,9,18,2015/2016,0,5,418,1,-9
Napoli,Carpi,0,0,11,19,2015/2016,0,0,419,0,-8
